#Coverage	Number of genomic locations
0.0	346491.0
1.0	92806.0
2.0	105377.0
3.0	120289.0
4.0	143992.0
5.0	167190.0
6.0	190936.0
7.0	210466.0
8.0	226044.0
9.0	240746.0
10.0	248357.0
11.0	249319.0
12.0	247611.0
13.0	240957.0
14.0	230097.0
15.0	214846.0
16.0	199421.0
17.0	182477.0
18.0	164418.0
19.0	145937.0
20.0	129210.0
21.0	111918.0
22.0	97839.0
23.0	83538.0
24.0	71946.0
25.0	60711.0
26.0	50365.0
27.0	42267.0
28.0	35230.0
29.0	29471.0
30.0	24122.0
31.0	20500.0
32.0	16986.0
33.0	13781.0
34.0	11568.0
35.0	9717.0
36.0	7992.0
37.0	6537.0
38.0	5523.0
39.0	4527.0
40.0	3937.0
41.0	3505.0
42.0	2945.0
43.0	2338.0
44.0	1988.0
45.0	1665.0
46.0	1334.0
47.0	1133.0
48.0	918.0
49.0	956.0
50.0	774.0
51.0	701.0
52.0	663.0
53.0	527.0
54.0	457.0
55.0	354.0
56.0	290.0
57.0	264.0
58.0	235.0
59.0	203.0
60.0	174.0
61.0	157.0
62.0	174.0
63.0	143.0
64.0	112.0
65.0	102.0
66.0	99.0
67.0	79.0
68.0	110.0
69.0	80.0
70.0	78.0
71.0	69.0
72.0	73.0
73.0	73.0
74.0	47.0
75.0	49.0
76.0	72.0
77.0	78.0
78.0	73.0
79.0	85.0
80.0	59.0
81.0	60.0
82.0	73.0
83.0	65.0
84.0	60.0
85.0	64.0
86.0	54.0
87.0	60.0
88.0	35.0
89.0	44.0
90.0	34.0
91.0	35.0
92.0	42.0
93.0	38.0
94.0	30.0
95.0	25.0
96.0	33.0
97.0	34.0
98.0	25.0
99.0	30.0
100.0	34.0
101.0	23.0
102.0	32.0
103.0	20.0
104.0	16.0
105.0	23.0
106.0	18.0
107.0	15.0
108.0	23.0
109.0	16.0
110.0	14.0
111.0	7.0
112.0	5.0
113.0	8.0
114.0	4.0
115.0	2.0
116.0	4.0
117.0	5.0
118.0	4.0
119.0	8.0
120.0	5.0
121.0	5.0
122.0	8.0
123.0	6.0
124.0	8.0
125.0	3.0
