#Coverage	Number of genomic locations
0.0	288872.0
1.0	1222.0
2.0	8772.0
3.0	6318.0
4.0	8415.0
5.0	6502.0
6.0	8557.0
7.0	6674.0
8.0	8894.0
9.0	6652.0
10.0	8559.0
11.0	6524.0
12.0	8951.0
13.0	7042.0
14.0	9147.0
15.0	7155.0
16.0	10612.0
17.0	8587.0
18.0	21224.0
19.0	16911.0
20.0	4368312.0
21.0	4850.0
22.0	379.0
23.0	63.0
24.0	71.0
25.0	90.0
26.0	135.0
27.0	51.0
28.0	28.0
29.0	40.0
30.0	49.0
31.0	47.0
32.0	75.0
33.0	50.0
34.0	25.0
