#Coverage (X)	Coverage
1.0	95.0149849219076
2.0	95.0040943258131
3.0	94.75899380002092
4.0	94.54521926641691
5.0	94.30194074149225
6.0	94.07551572459215
7.0	93.80749525606876
8.0	93.57490028168547
9.0	93.30458160752238
10.0	93.08022704615357
11.0	92.81997078587246
12.0	92.59563692905894
13.0	92.34119864882072
14.0	92.11649211001158
15.0	91.85609091784329
16.0	91.63550458554138
17.0	91.33663432960202
18.0	91.09091266715046
19.0	90.75814905416415
20.0	90.44631774659902
21.0	0.19327702384440215
22.0	0.0026087739693991807
23.0	1.6563644250311427E-4
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
