#Coverage	Number of genomic locations
0.0	276027.0
1.0	4423.0
2.0	5415.0
3.0	4413.0
4.0	5303.0
5.0	5012.0
6.0	5777.0
7.0	5495.0
8.0	5962.0
9.0	4801.0
10.0	6050.0
11.0	5334.0
12.0	6341.0
13.0	5408.0
14.0	6366.0
15.0	5562.0
16.0	7696.0
17.0	6446.0
18.0	9543.0
19.0	12242.0
20.0	4426230.0
21.0	930.0
22.0	492.0
23.0	544.0
24.0	588.0
25.0	428.0
26.0	490.0
27.0	490.0
28.0	314.0
29.0	320.0
30.0	213.0
31.0	189.0
32.0	261.0
33.0	198.0
34.0	205.0
35.0	119.0
36.0	226.0
37.0	94.0
38.0	652.0
39.0	257.0
40.0	2961.0
41.0	38.0
