#Coverage	Number of genomic locations
0.0	209675.0
1.0	11659.0
2.0	8098.0
3.0	7081.0
4.0	6265.0
5.0	6065.0
6.0	5231.0
7.0	5238.0
8.0	4729.0
9.0	4998.0
10.0	5225.0
11.0	5266.0
12.0	6210.0
13.0	6971.0
14.0	7946.0
15.0	9566.0
16.0	11040.0
17.0	12998.0
18.0	16283.0
19.0	19905.0
20.0	24350.0
21.0	29636.0
22.0	35699.0
23.0	43089.0
24.0	51987.0
25.0	61901.0
26.0	72151.0
27.0	83781.0
28.0	95173.0
29.0	107521.0
30.0	119955.0
31.0	131444.0
32.0	142753.0
33.0	153158.0
34.0	163120.0
35.0	170634.0
36.0	177517.0
37.0	180951.0
38.0	183867.0
39.0	183461.0
40.0	182079.0
41.0	178393.0
42.0	172013.0
43.0	164339.0
44.0	156452.0
45.0	146756.0
46.0	137461.0
47.0	127685.0
48.0	117328.0
49.0	107081.0
50.0	96475.0
51.0	86083.0
52.0	76696.0
53.0	66644.0
54.0	58357.0
55.0	50811.0
56.0	44328.0
57.0	37847.0
58.0	32343.0
59.0	27436.0
60.0	23002.0
61.0	19328.0
62.0	15741.0
63.0	13146.0
64.0	10695.0
65.0	9136.0
66.0	7575.0
67.0	6310.0
68.0	5061.0
69.0	4130.0
70.0	3430.0
71.0	2961.0
72.0	2488.0
73.0	2201.0
74.0	2081.0
75.0	2019.0
76.0	1820.0
77.0	1769.0
78.0	1747.0
79.0	1713.0
80.0	1653.0
81.0	1656.0
82.0	1604.0
83.0	1570.0
84.0	1547.0
85.0	1519.0
86.0	1476.0
87.0	1447.0
88.0	1455.0
89.0	1489.0
90.0	1502.0
91.0	1444.0
92.0	1412.0
93.0	1360.0
94.0	1287.0
95.0	1258.0
96.0	1178.0
97.0	1204.0
98.0	1051.0
99.0	1008.0
100.0	938.0
101.0	860.0
102.0	754.0
103.0	783.0
104.0	707.0
105.0	613.0
106.0	613.0
107.0	496.0
108.0	430.0
109.0	375.0
110.0	369.0
111.0	360.0
112.0	320.0
113.0	276.0
114.0	254.0
115.0	211.0
116.0	195.0
117.0	196.0
118.0	214.0
119.0	162.0
120.0	132.0
121.0	86.0
122.0	100.0
123.0	101.0
124.0	78.0
125.0	85.0
126.0	71.0
127.0	86.0
128.0	85.0
129.0	88.0
130.0	60.0
131.0	72.0
132.0	84.0
133.0	70.0
134.0	95.0
135.0	92.0
136.0	98.0
137.0	108.0
138.0	145.0
139.0	130.0
140.0	136.0
141.0	133.0
142.0	159.0
143.0	180.0
144.0	195.0
145.0	172.0
146.0	173.0
147.0	178.0
148.0	193.0
149.0	176.0
150.0	175.0
151.0	215.0
152.0	216.0
153.0	148.0
154.0	178.0
155.0	194.0
156.0	180.0
157.0	160.0
158.0	177.0
159.0	160.0
160.0	163.0
161.0	127.0
162.0	105.0
163.0	113.0
164.0	117.0
165.0	92.0
166.0	86.0
167.0	67.0
168.0	98.0
169.0	84.0
170.0	79.0
171.0	38.0
172.0	38.0
173.0	41.0
174.0	39.0
175.0	47.0
176.0	55.0
177.0	44.0
178.0	42.0
179.0	39.0
180.0	43.0
181.0	36.0
182.0	32.0
183.0	15.0
184.0	19.0
185.0	20.0
186.0	7.0
187.0	2.0
