#Coverage	Number of genomic locations
0.0	377592.0
1.0	4470.0
2.0	5253.0
3.0	4895.0
4.0	5567.0
5.0	5286.0
6.0	5562.0
7.0	5504.0
8.0	5921.0
9.0	5318.0
10.0	6200.0
11.0	5817.0
12.0	6491.0
13.0	5897.0
14.0	6906.0
15.0	7520.0
16.0	9716.0
17.0	9180.0
18.0	15572.0
19.0	22690.0
20.0	4300155.0
21.0	846.0
22.0	471.0
23.0	491.0
24.0	720.0
25.0	162.0
26.0	483.0
27.0	270.0
28.0	299.0
29.0	262.0
30.0	297.0
31.0	126.0
32.0	348.0
33.0	199.0
34.0	200.0
35.0	79.0
36.0	167.0
37.0	63.0
38.0	423.0
39.0	56.0
40.0	1868.0
41.0	17.0
42.0	55.0
43.0	15.0
44.0	5.0
45.0	20.0
46.0	10.0
47.0	7.0
48.0	21.0
49.0	5.0
50.0	7.0
51.0	2.0
52.0	6.0
53.0	5.0
54.0	12.0
55.0	9.0
56.0	19.0
57.0	40.0
58.0	4.0
59.0	4.0
60.0	5.0
61.0	5.0
62.0	13.0
63.0	2.0
64.0	15.0
65.0	6.0
66.0	11.0
67.0	2.0
68.0	15.0
69.0	2.0
70.0	9.0
71.0	8.0
72.0	2.0
73.0	22.0
74.0	7.0
75.0	7.0
76.0	19.0
77.0	23.0
78.0	23.0
79.0	6.0
80.0	8.0
81.0	17.0
82.0	10.0
83.0	13.0
