#Coverage (X)	Coverage
1.0	94.70996541304035
2.0	94.68901240306386
3.0	94.52998071370672
4.0	94.40794806469346
5.0	94.26225010895772
6.0	94.14794025907611
7.0	93.97603033631444
8.0	93.85234132287616
9.0	93.69927254544909
10.0	93.5776953966527
11.0	93.4184152526318
12.0	93.30435385741394
13.0	93.14198873465145
14.0	93.0214468136207
15.0	92.85421612035972
16.0	92.71085777937432
17.0	92.50416420368727
18.0	92.29976883363993
19.0	91.8777271781451
20.0	91.5165362107144
21.0	0.10909230194280894
22.0	0.025280262036844192
23.0	0.02211246507400233
24.0	0.017619576571135553
25.0	0.015321370931417277
26.0	0.012112164857938978
27.0	0.009461981777903361
28.0	0.006936026029748632
29.0	0.0056937527109823804
30.0	0.005176138828161925
31.0	0.003995979175329012
32.0	0.003002160520324537
33.0	0.0015528416484329455
34.0	5.17613882792034E-4
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
