#Coverage (X)	Coverage
1.0	92.02429472520396
2.0	91.98673666186666
3.0	91.81194880591653
4.0	91.69494736384425
5.0	91.51933132568162
6.0	91.4063258627847
7.0	91.21130965629403
8.0	91.10124424025152
9.0	90.92229476868353
10.0	90.80672194092783
11.0	90.6163228502719
12.0	90.49988043119308
13.0	90.30136515485455
14.0	90.1780695279672
15.0	89.95334228460274
16.0	89.80644346465888
17.0	89.53432349418358
18.0	89.33481439919004
19.0	88.75984889815533
20.0	88.21239975113124
21.0	0.07795265075245084
22.0	0.009958891105426915
23.0	0.003644001735040092
24.0	0.002339614750340502
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
