#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	2.209114807696556E-5
18.0	6.627344423089669E-5
19.0	6.627344423089669E-5
20.0	1.8777475865420723E-4
21.0	2.4300262884662115E-4
22.0	1.8777475865420725E-4
23.0	3.53458369231449E-4
24.0	5.633242759626217E-4
25.0	8.94691497117105E-4
26.0	0.0011266485519252436
27.0	0.002131795789427177
28.0	0.0024631630105816597
29.0	0.002904985972120971
30.0	0.004241500430777387
31.0	0.0043188194490467674
32.0	0.005478604723087459
33.0	0.006682572293282082
34.0	0.007765038549053396
35.0	0.008571365453862638
36.0	0.010117745819250228
37.0	0.011321713389444849
38.0	0.014535975434643337
39.0	0.015949808911569135
40.0	0.018976296198113418
41.0	0.02236728742792763
42.0	0.027194203282744602
43.0	0.030795060419289987
44.0	0.039819294408730416
45.0	0.04664545916451278
46.0	0.05496277641549032
47.0	0.0636998254799302
48.0	0.07207237060110014
49.0	0.07674464841937836
50.0	0.07862239600592043
51.0	0.08202443280977312
52.0	0.06266154152031281
53.0	0.058154947312611845
54.0	0.04802615591932313
55.0	0.03692535401064793
56.0	0.026122782601011772
57.0	0.01835774405195838
58.0	0.011973402257715334
59.0	0.007996995603861533
60.0	0.005335012260587183
61.0	0.0037775863211611106
62.0	0.0027945302317361437
63.0	0.0017783374201957277
64.0	9.830560894249674E-4
65.0	5.743698500011045E-4
66.0	2.4300262884662118E-4
67.0	1.104557403848278E-4
68.0	3.3136722115448345E-5
69.0	3.3136722115448345E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
