#Skyline assuming 50 gen/year and approximate confidence bounds (+/- 2.000000 standard deviations of the LH)
#date 	N_e 	lower 	upper
-4110.5	61643.4	23521.7	161549.0
-3787.9	80208.5	41434.1	155268.1
-3465.3	91943.1	45243.0	186847.3
-3142.7	106261.1	54946.6	205498.1
-2820.1	108492.6	56193.2	209467.6
-2497.5	112126.5	57629.6	218157.7
-2174.9	119488.3	61561.3	231922.5
-1852.3	164024.3	84951.2	316698.9
-1529.7	232233.0	122993.5	438495.9
-1207.1	239220.4	117952.1	485166.4
-884.5	250461.2	123494.6	507964.1
-561.8	270148.9	134752.1	541590.2
-239.2	260659.7	132226.4	513842.0
83.4	227400.9	119740.5	431860.0
406.0	227478.8	121997.3	424162.2
728.6	215628.8	124142.8	374534.5
1051.2	417230.5	273979.8	635379.9
1373.8	532699.3	380455.7	745864.9
1696.4	1973056.0	1547650.7	2515393.2
2019.0	1970382.7	1429289.6	2716319.9
