#Coverage	Number of genomic locations
0.0	302348.0
1.0	4403.0
2.0	7302.0
3.0	5290.0
4.0	6709.0
5.0	5771.0
6.0	7259.0
7.0	5769.0
8.0	7670.0
9.0	5586.0
10.0	7842.0
11.0	6073.0
12.0	8527.0
13.0	6922.0
14.0	9257.0
15.0	7925.0
16.0	11304.0
17.0	15118.0
18.0	25355.0
19.0	32864.0
20.0	4336060.0
21.0	550.0
22.0	441.0
23.0	330.0
24.0	234.0
25.0	601.0
26.0	169.0
27.0	207.0
28.0	201.0
29.0	92.0
30.0	75.0
31.0	54.0
32.0	72.0
33.0	85.0
34.0	78.0
35.0	41.0
36.0	59.0
37.0	41.0
38.0	59.0
39.0	41.0
40.0	417.0
41.0	8.0
42.0	15.0
43.0	6.0
44.0	14.0
45.0	18.0
46.0	9.0
47.0	9.0
48.0	16.0
49.0	8.0
50.0	4.0
51.0	6.0
52.0	27.0
53.0	4.0
54.0	3.0
55.0	6.0
56.0	7.0
57.0	3.0
58.0	13.0
59.0	11.0
60.0	9.0
61.0	4.0
62.0	9.0
63.0	56.0
64.0	16.0
65.0	9.0
66.0	20.0
67.0	23.0
68.0	14.0
69.0	18.0
70.0	7.0
71.0	8.0
72.0	5.0
73.0	5.0
74.0	5.0
75.0	6.0
76.0	3.0
77.0	2.0
78.0	2.0
79.0	2.0
80.0	7.0
81.0	9.0
82.0	14.0
83.0	10.0
84.0	6.0
85.0	14.0
86.0	13.0
87.0	3.0
88.0	7.0
89.0	14.0
90.0	17.0
91.0	3.0
92.0	7.0
93.0	40.0
94.0	14.0
95.0	15.0
96.0	25.0
97.0	19.0
98.0	7.0
