#Mapping quality	mapping quality
30.0	158.0
31.0	42.0
32.0	171.0
33.0	332.0
34.0	86.0
35.0	580.0
36.0	898.0
37.0	204.0
38.0	130.0
39.0	204.0
40.0	425.0
41.0	173.0
42.0	275.0
43.0	208.0
44.0	790.0
45.0	513.0
46.0	690.0
47.0	594.0
48.0	794.0
49.0	797.0
50.0	923.0
51.0	627.0
52.0	856.0
53.0	769.0
54.0	1227.0
55.0	1571.0
56.0	1690.0
57.0	1811.0
58.0	2553.0
59.0	2656.0
60.0	4462958.0
