#Position (bp)	mapping quality
6038.0	59.99743019774628
18113.0	60.0
30188.0	60.0
42263.0	60.0
54338.0	59.957260001656586
66413.0	59.95522852109027
78488.0	60.0
90563.0	59.99527948355894
102638.0	59.96615652033774
114713.0	59.88699296512498
126788.0	59.99101887484851
138863.0	60.0
150938.0	60.0
163013.0	60.0
175088.0	59.80785428950287
187163.0	59.96177783620084
199238.0	59.985838216112136
211313.0	60.0
223388.0	60.0
235463.0	60.0
247538.0	60.0
259613.0	60.0
271688.0	60.0
283763.0	59.95935010037782
295838.0	59.99488263732712
307913.0	59.59297966069922
319988.0	60.0
332063.0	60.0
344138.0	59.91147242553085
356213.0	60.0
368288.0	60.0
380363.0	59.95716917922948
392438.0	59.9242539009241
404513.0	60.0
416588.0	60.0
428663.0	59.935830491840406
440738.0	60.0
452813.0	60.0
464888.0	59.88475177304964
476963.0	60.0
489038.0	59.99527948355894
501113.0	60.0
513188.0	59.99488263732712
525263.0	59.969005062506454
537338.0	60.0
549413.0	59.9268398896792
561488.0	59.93631418336208
573563.0	60.0
585638.0	59.968622285924575
597713.0	60.0
609788.0	60.0
621863.0	60.0
633938.0	60.0
646013.0	60.0
658088.0	59.33004385964912
670163.0	60.0
682238.0	59.99527055338674
694313.0	59.77293606714829
706388.0	59.944943839317574
718463.0	59.93237539171444
730538.0	59.99527948355894
742613.0	59.99503105590062
754688.0	59.99913806725949
766763.0	59.94483604045357
778838.0	59.95869520503381
790913.0	59.59129738630471
802988.0	59.30375869564231
815063.0	58.162183388965246
827138.0	0.0
839213.0	0.0
851288.0	0.0
863363.0	59.993961109545474
875438.0	60.0
887513.0	59.95117611592932
899588.0	60.0
911663.0	60.0
923738.0	60.0
935813.0	59.98349359732115
947888.0	59.92879077101834
959963.0	60.0
972038.0	60.0
984113.0	59.99527948355894
996188.0	59.98950682056663
1008263.0	60.0
1020338.0	60.0
1032413.0	60.0
1044488.0	59.98509316770186
1056563.0	59.99502402978948
1068638.0	57.56071580741372
1080713.0	57.66660770092576
1092788.0	59.90483743061063
1104863.0	59.99332314234006
1116938.0	0.0
1129013.0	0.0
1141088.0	0.0
1153163.0	60.0
1165238.0	60.0
1177313.0	60.0
1189388.0	59.99503105590062
1201463.0	59.94774992950387
1213538.0	60.0
1225613.0	60.0
1237688.0	59.98818998975457
1249763.0	59.99488396932177
1261838.0	60.0
1273913.0	59.85410940755327
1285988.0	59.899142113685855
1298063.0	60.0
1310138.0	60.0
1322213.0	59.99811572161133
1334288.0	59.9721701102014
1346363.0	60.0
1358438.0	59.99039571345527
1370513.0	60.0
1382588.0	59.98949702415685
1394663.0	59.93027205816622
1406738.0	60.0
1418813.0	59.701454436439946
1430888.0	60.0
1442963.0	59.93481992553218
1455038.0	59.857443639056946
1467113.0	59.94326720135078
1479188.0	59.93039702695872
1491263.0	59.995274533049255
1503338.0	59.99284419425627
1515413.0	60.0
1527488.0	60.0
1539563.0	59.926705050704655
1551638.0	59.831995192708945
1563713.0	60.0
1575788.0	59.90108918168115
1587863.0	60.0
1599938.0	60.0
1612013.0	60.0
1624088.0	60.0
1636163.0	59.994947049287326
1648238.0	60.0
1660313.0	57.987515140221745
1672388.0	59.993715961457895
1684463.0	60.0
1696538.0	60.0
1708613.0	59.91350849795577
1720688.0	60.0
1732763.0	60.0
1744838.0	60.0
1756913.0	60.0
1768988.0	59.9954237094225
1781063.0	60.0
1793138.0	59.99527948355894
1805213.0	60.0
1817288.0	59.93435106549263
1829363.0	59.9763640549459
1841438.0	60.0
1853513.0	60.0
1865588.0	60.0
1877663.0	60.0
1889738.0	60.0
1901813.0	59.213596589634285
1913888.0	59.995031302792405
1925963.0	59.87952054092818
1938038.0	59.98582189480841
1950113.0	59.92916057350937
1962188.0	59.99519583301727
1974263.0	60.0
1986338.0	60.0
1998413.0	59.94516987185996
2010488.0	59.992688092516644
2022563.0	60.0
2034638.0	60.0
2046713.0	60.0
2058788.0	59.99527948355894
2070863.0	59.905792478312385
2082938.0	59.99499491149335
2095013.0	59.971773883143875
2107088.0	59.990807339221604
2119163.0	59.93961432689441
2131238.0	60.0
2143313.0	59.990107674162005
2155388.0	60.0
2167463.0	60.0
2179538.0	60.0
2191613.0	59.92842290135781
2203688.0	59.88678869711622
2215763.0	59.99055884983602
2227838.0	59.89882084442754
2239913.0	60.0
2251988.0	60.0
2264063.0	60.0
2276138.0	59.995198362388855
2288213.0	60.0
2300288.0	59.98603860266699
2312363.0	60.0
2324438.0	59.90497584802804
2336513.0	60.0
2348588.0	59.955273391395096
2360663.0	60.0
2372738.0	60.0
2384813.0	60.0
2396888.0	59.995166480816444
2408963.0	60.0
2421038.0	60.0
2433113.0	60.0
2445188.0	59.903556392953185
2457263.0	59.99456078324721
2469338.0	59.96238351714115
2481413.0	60.0
2493488.0	60.0
2505563.0	59.91469241738173
2517638.0	60.0
2529713.0	59.99552791327464
2541788.0	59.98111730871958
2553863.0	59.5034595034595
2565938.0	60.0
2578013.0	59.98143224827107
2590088.0	60.0
2602163.0	60.0
2614238.0	60.0
2626313.0	60.0
2638388.0	60.0
2650463.0	59.970744920993226
2662538.0	59.99001417180668
2674613.0	60.0
2686688.0	60.0
2698763.0	60.0
2710838.0	59.89535000166906
2722913.0	60.0
2734988.0	60.0
2747063.0	59.94990179613447
2759138.0	60.0
2771213.0	59.99509715376874
2783288.0	59.929134555762246
2795363.0	59.94566870952319
2807438.0	60.0
2819513.0	59.93158409765645
2831588.0	59.993058623083236
2843663.0	59.98583809882688
2855738.0	59.94603692616053
2867813.0	59.9904173093654
2879888.0	59.78833663054325
2891963.0	59.997646747363625
2904038.0	59.94558442902992
2916113.0	59.96073444806634
2928188.0	60.0
2940263.0	60.0
2952338.0	60.0
2964413.0	60.0
2976488.0	59.945103245366965
2988563.0	59.8658215305976
3000638.0	60.0
3012713.0	60.0
3024788.0	59.99526676354578
3036863.0	60.0
3048938.0	59.98818665091554
3061013.0	59.944778272374094
3073088.0	59.94023408317423
3085163.0	59.95068619812847
3097238.0	60.0
3109313.0	59.99527948355894
3121388.0	59.99852353485442
3133463.0	59.90376674892955
3145538.0	59.99424559207305
3157613.0	59.87857582939454
3169688.0	60.0
3181763.0	59.93226220172748
3193838.0	59.99426876620865
3205913.0	60.0
3217988.0	59.974583451002545
3230063.0	59.94384700040728
3242138.0	59.852636175090055
3254213.0	59.994836512199875
3266288.0	59.94535473044197
3278363.0	60.0
3290438.0	59.97449907204957
3302513.0	59.93710508691728
3314588.0	59.993920845212145
3326663.0	59.884458597664164
3338738.0	59.99496487064846
3350813.0	60.0
3362888.0	59.95818511424272
3374963.0	59.99503105590062
3387038.0	59.97316636851521
3399113.0	59.973166146277634
3411188.0	60.0
3423263.0	60.0
3435338.0	60.0
3447413.0	59.99484540743889
3459488.0	59.94172049080977
3471563.0	59.99055892802425
3483638.0	59.994231995223686
3495713.0	60.0
3507788.0	60.0
3519863.0	60.0
3531938.0	60.0
3544013.0	60.0
3556088.0	59.90934069640376
3568163.0	60.0
3580238.0	60.0
3592313.0	60.0
3604388.0	60.0
3616463.0	60.0
3628538.0	59.99387514976333
3640613.0	60.0
3652688.0	60.0
3664763.0	60.0
3676838.0	59.88783816792371
3688913.0	60.0
3700988.0	60.0
3713063.0	60.0
3725138.0	59.989993370608026
3737213.0	59.936379865221404
3749288.0	60.0
3761363.0	60.0
3773438.0	59.93619911193816
3785513.0	60.0
3797588.0	60.0
3809663.0	59.922120712895016
3821738.0	59.99973004224839
3833813.0	59.89613874133137
3845888.0	60.0
3857963.0	60.0
3870038.0	59.94029405179491
3882113.0	60.0
3894188.0	60.0
3906263.0	60.0
3918338.0	59.99552791327464
3930413.0	59.91383768490065
3942488.0	59.917307944311645
3954563.0	59.9303768417904
3966638.0	59.95726035566673
3978713.0	59.99488718162615
3990788.0	59.99132759991328
4002863.0	59.94953192417327
4014938.0	58.883872651356995
4027013.0	59.12806416726748
4039088.0	60.0
4051163.0	59.91134317579038
4063238.0	60.0
4075313.0	60.0
4087388.0	59.91938694267516
4099463.0	59.52370250432882
4111538.0	60.0
4123613.0	59.995021944926116
4135688.0	60.0
4147763.0	60.0
4159838.0	60.0
4171913.0	59.98719374515553
4183988.0	60.0
4196063.0	59.93689518938185
4208138.0	60.0
4220213.0	60.0
4232288.0	60.0
4244363.0	60.0
4256438.0	59.99503105590062
4268513.0	59.95824150330588
4280588.0	60.0
4292663.0	60.0
4304738.0	59.99552791327464
4316813.0	60.0
4328888.0	60.0
4340963.0	59.94028902120827
4353038.0	60.0
4365113.0	59.97652896995708
4377188.0	60.0
4389263.0	60.0
4401338.0	60.0
4413413.0	60.0
4425488.0	60.0
4437563.0	60.0
4449638.0	59.99055892802425
4461713.0	59.936314711467496
4473788.0	59.87347418792327
4485863.0	59.96990424076608
4497938.0	59.99503105590062
4510013.0	59.95527561402855
4522088.0	59.99380008369887
4534163.0	59.99925262515415
4546238.0	60.0
4558313.0	59.976695408995575
4570388.0	59.99481088560886
4582463.0	59.99055892802425
4594538.0	60.0
4606613.0	60.0
4618688.0	59.99503105590062
4630763.0	60.0
4642838.0	60.0
4651302.0	60.0
4657339.5	59.988537760037
4666988.0	59.80792328415774
4679063.0	59.99552791327464
4691138.0	59.99527948355894
4703213.0	59.94427871897338
4715288.0	59.80286929586649
4722679.5	60.0
4728717.0	60.0
4739438.0	60.0
4751513.0	60.0
4763588.0	60.0
4775663.0	60.0
4787738.0	60.0
4799813.0	59.9943042120352
4811888.0	59.99031051888414
4819084.5	60.0
4825049.5	0.0
