#Coverage	Number of genomic locations
0.0	256169.0
1.0	1708.0
2.0	8198.0
3.0	4570.0
4.0	8336.0
5.0	5162.0
6.0	8319.0
7.0	5131.0
8.0	9139.0
9.0	5384.0
10.0	9125.0
11.0	5329.0
12.0	9520.0
13.0	5747.0
14.0	10623.0
15.0	6466.0
16.0	12995.0
17.0	9243.0
18.0	29290.0
19.0	21027.0
20.0	4392415.0
21.0	2980.0
22.0	395.0
23.0	254.0
24.0	662.0
25.0	251.0
26.0	320.0
27.0	52.0
28.0	137.0
29.0	66.0
30.0	127.0
31.0	51.0
32.0	109.0
33.0	75.0
34.0	45.0
35.0	18.0
36.0	40.0
37.0	15.0
38.0	41.0
39.0	11.0
40.0	159.0
41.0	14.0
42.0	18.0
43.0	21.0
44.0	23.0
45.0	21.0
46.0	9.0
47.0	19.0
48.0	25.0
49.0	1.0
