#Read position (bp)	Clipping profile
0.0	2.385211687537269
1.0	2.385211687537269
2.0	1.8783542039355994
3.0	1.7889087656529516
4.0	1.6696481812760882
5.0	1.311866428145498
6.0	1.1926058437686344
7.0	1.103160405485987
8.0	0.8050089445438283
9.0	0.5068574836016696
10.0	0.2981514609421586
11.0	0.26833631484794274
12.0	0.2385211687537269
13.0	0.2385211687537269
14.0	0.2385211687537269
15.0	0.2385211687537269
16.0	0.2385211687537269
17.0	0.2385211687537269
18.0	0.2385211687537269
19.0	0.2385211687537269
20.0	0.2385211687537269
21.0	0.2385211687537269
22.0	0.2385211687537269
23.0	0.2385211687537269
24.0	0.2385211687537269
25.0	0.2385211687537269
26.0	0.2385211687537269
27.0	0.2385211687537269
28.0	0.2385211687537269
29.0	0.2385211687537269
30.0	0.2385211687537269
31.0	0.2385211687537269
32.0	0.2385211687537269
33.0	0.2385211687537269
34.0	0.2385211687537269
35.0	0.2385211687537269
36.0	0.20870602265951102
37.0	0.17889087656529518
38.0	0.17889087656529518
39.0	0.17889087656529518
40.0	0.17889087656529518
41.0	0.17889087656529518
42.0	0.17889087656529518
43.0	0.17889087656529518
44.0	0.17889087656529518
45.0	0.17889087656529518
46.0	0.17889087656529518
47.0	0.17889087656529518
48.0	0.17889087656529518
49.0	0.17889087656529518
50.0	0.17889087656529518
51.0	0.17889087656529518
52.0	0.17889087656529518
53.0	0.17889087656529518
54.0	0.17889087656529518
55.0	0.17889087656529518
56.0	0.17889087656529518
57.0	0.17889087656529518
58.0	0.17889087656529518
59.0	0.17889087656529518
60.0	0.17889087656529518
61.0	0.1490757304710793
62.0	0.11926058437686345
63.0	0.11926058437686345
64.0	0.11926058437686345
65.0	0.11926058437686345
66.0	0.11926058437686345
67.0	0.11926058437686345
68.0	0.11926058437686345
69.0	0.11926058437686345
70.0	0.11926058437686345
71.0	0.11926058437686345
72.0	0.11926058437686345
73.0	0.11926058437686345
74.0	0.11926058437686345
75.0	0.11926058437686345
76.0	0.11926058437686345
77.0	0.11926058437686345
78.0	0.11926058437686345
79.0	0.11926058437686345
80.0	0.11926058437686345
81.0	0.11926058437686345
82.0	0.11926058437686345
83.0	0.11926058437686345
84.0	0.11926058437686345
85.0	0.11926058437686345
86.0	0.08944543828264759
87.0	0.05963029218843172
88.0	0.05963029218843172
89.0	0.05963029218843172
90.0	0.05963029218843172
91.0	0.05963029218843172
92.0	0.05963029218843172
93.0	0.05963029218843172
94.0	0.05963029218843172
95.0	0.05963029218843172
96.0	0.05963029218843172
97.0	0.05963029218843172
98.0	0.05963029218843172
99.0	0.05963029218843172
100.0	0.05963029218843172
101.0	0.05963029218843172
102.0	0.05963029218843172
103.0	0.05963029218843172
104.0	0.05963029218843172
105.0	0.05963029218843172
106.0	0.05963029218843172
107.0	0.05963029218843172
108.0	0.05963029218843172
109.0	0.05963029218843172
110.0	0.05963029218843172
111.0	0.02981514609421586
112.0	0.0
113.0	0.0
114.0	0.0
115.0	0.0
116.0	0.0
117.0	0.0
118.0	0.0
119.0	0.0
120.0	0.0
121.0	0.0
122.0	0.0
123.0	0.0
124.0	0.0
125.0	0.0
126.0	0.0
127.0	0.0
128.0	0.02981514609421586
129.0	0.02981514609421586
130.0	0.02981514609421586
131.0	0.02981514609421586
132.0	0.02981514609421586
133.0	0.02981514609421586
134.0	0.02981514609421586
135.0	0.02981514609421586
136.0	0.08944543828264759
137.0	0.11926058437686345
138.0	0.11926058437686345
139.0	0.11926058437686345
140.0	0.11926058437686345
141.0	0.1490757304710793
142.0	0.1490757304710793
143.0	0.1490757304710793
144.0	0.1490757304710793
145.0	0.1490757304710793
146.0	0.1490757304710793
147.0	0.1490757304710793
148.0	0.1490757304710793
149.0	0.1490757304710793
150.0	0.17889087656529518
151.0	0.17889087656529518
152.0	0.17889087656529518
153.0	0.20870602265951102
154.0	0.20870602265951102
155.0	0.20870602265951102
156.0	0.20870602265951102
157.0	0.20870602265951102
158.0	0.20870602265951102
159.0	0.20870602265951102
160.0	0.20870602265951102
161.0	0.26833631484794274
162.0	0.2981514609421586
163.0	0.2981514609421586
164.0	0.2981514609421586
165.0	0.2981514609421586
166.0	0.3279666070363745
167.0	0.3279666070363745
168.0	0.3279666070363745
169.0	0.3279666070363745
170.0	0.3279666070363745
171.0	0.3279666070363745
172.0	0.3279666070363745
173.0	0.3279666070363745
174.0	0.3279666070363745
175.0	0.35778175313059035
176.0	0.35778175313059035
177.0	0.35778175313059035
178.0	0.3875968992248062
179.0	0.3875968992248062
180.0	0.3875968992248062
181.0	0.3875968992248062
182.0	0.3875968992248062
183.0	0.3875968992248062
184.0	0.3875968992248062
185.0	0.3875968992248062
186.0	0.4472271914132379
187.0	0.4770423375074538
188.0	0.4770423375074538
189.0	0.4770423375074538
190.0	0.4770423375074538
191.0	0.5068574836016696
192.0	0.5068574836016696
193.0	0.5068574836016696
194.0	0.5068574836016696
195.0	0.5068574836016696
196.0	0.5068574836016696
197.0	0.5068574836016696
198.0	0.5068574836016696
199.0	0.5068574836016696
200.0	0.5366726296958855
201.0	0.5366726296958855
202.0	0.5366726296958855
203.0	0.5664877757901015
204.0	0.5664877757901015
205.0	0.5664877757901015
206.0	0.5664877757901015
207.0	0.5664877757901015
208.0	0.5664877757901015
209.0	0.5664877757901015
210.0	0.5664877757901015
211.0	0.6261180679785331
212.0	0.655933214072749
213.0	0.655933214072749
214.0	0.655933214072749
215.0	0.655933214072749
216.0	0.6857483601669648
217.0	0.6857483601669648
218.0	0.6857483601669648
219.0	0.6857483601669648
220.0	0.6857483601669648
221.0	0.6857483601669648
222.0	0.6857483601669648
223.0	0.6857483601669648
224.0	0.6857483601669648
225.0	0.7155635062611807
226.0	0.7155635062611807
227.0	0.7155635062611807
228.0	0.7453786523553966
229.0	0.7453786523553966
230.0	0.7453786523553966
231.0	0.7453786523553966
232.0	0.7453786523553966
233.0	0.7453786523553966
234.0	0.7453786523553966
235.0	0.7453786523553966
236.0	0.8050089445438283
237.0	0.8348240906380441
238.0	0.8348240906380441
239.0	0.8348240906380441
240.0	1.132975551580203
241.0	1.4311270125223614
242.0	1.7590936195587357
243.0	2.0572450805008944
244.0	2.176505664877758
245.0	2.385211687537269
246.0	2.5044722719141324
247.0	2.7728085867620753
248.0	3.2796660703637444
249.0	3.2796660703637444
