Accession	BioProject	Strain	SRAAccession
SAMN00115212	PRJNA47685	F1984001	SRS116745
SAMN00115211	PRJNA47685	J1963002	SRS116744
SAMN00115210	PRJNA47685	CMCC71001	SRS116743
SAMN00115209	PRJNA47685	CMCC67001	SRS116742
SAMN00115208	PRJNA47685	CMCC640047	SRS116741
SAMN00115207	PRJNA47685	CMCC64001	SRS116740
SAMN00115206	PRJNA47685	H1958004	SRS116739
SAMN00115205	PRJNA47685	CMCC51020	SRS116738
SAMN00115204	PRJNA47685	CMCC49003	SRS116737
SAMN00115203	PRJNA47685	K11973002	SRS116736
SAMN00115202	PRJNA47685	K21985002	SRS116735
SAMN00115201	PRJNA47685	CMCC43032	SRS116734
SAMN00115200	PRJNA47685	CMCC42007	SRS116733
SAMN00115199	PRJNA47685	A1956001	SRS116732
SAMN00115198	PRJNA47685	CMCC38001	SRS116731
SAMN00115197	PRJNA47685	CMCC348002	SRS116730
SAMN00115196	PRJNA47685	CMCC347001	SRS116729
SAMN00115195	PRJNA47685	CMCC31004	SRS116728
SAMN00115194	PRJNA47685	CMCC27002	SRS116727
SAMN00115193	PRJNA47685	CMCC21106	SRS116726
SAMN00115192	PRJNA47685	CMCC18019	SRS116725
SAMN00115191	PRJNA47685	I2001001	SRS116724
SAMN00115190	PRJNA47685	C1975003	SRS116723
SAMN00115189	PRJNA47685	I1969003	SRS116722
SAMN00115188	PRJNA47685	CMCC125002	SRS116721
SAMN00115187	PRJNA47685	J1978002	SRS116720
SAMN00115186	PRJNA47685	D1964002	SRS116719
SAMN00115185	PRJNA47685	I1994006	SRS116718
SAMN00115184	PRJNA47685	CMCC12003	SRS116717
SAMN00115183	PRJNA47685	CMCC114001	SRS116716
SAMN00115182	PRJNA47685	F1946001	SRS116715
SAMN00115181	PRJNA47685	CMCC11001	SRS116714
SAMN00115180	PRJNA47685	CMCC107004	SRS116713
SAMN00115179	PRJNA47685	CMCC106002	SRS116712
SAMN00115178	PRJNA47685	CMCC104003	SRS116711
SAMN00115177	PRJNA47685	CMCC10012	SRS116710
SAMN00115176	PRJNA47685	CMCC05013	SRS116709
SAMN00115175	PRJNA47685	CMCC05009	SRS116708
SAMN00115174	PRJNA47685	CMCC03001	SRS116707
SAMN00115173	PRJNA47685	CMCC02041	SRS116706
SAMN00115172	PRJNA47685	970754	SRS116705
SAMN00115171	PRJNA47685	945	SRS116704
SAMN00115170	PRJNA47685	D1991004	SRS116703
SAMN00115169	PRJNA47685	91	SRS116702
SAMN00115168	PRJNA47685	9	SRS116701
SAMN00115167	PRJNA47685	C1989001	SRS116700
SAMN00115166	PRJNA47685	F1954001	SRS116699
SAMN00115165	PRJNA47685	780441	SRS116698
SAMN00115164	PRJNA47685	7	SRS116697
SAMN00115163	PRJNA47685	D1982001	SRS116696
SAMN00115162	PRJNA47685	7338	SRS116695
SAMN00115161	PRJNA47685	710317	SRS116694
SAMN00115160	PRJNA47685	71021	SRS116693
SAMN00115159	PRJNA47685	C1976001	SRS116692
SAMN00115158	PRJNA47685	D1964001	SRS116691
SAMN00115157	PRJNA47685	620024	SRS116690
SAMN00115156	PRJNA47685	5	SRS116689
SAMN00115155	PRJNA47685	H1959004	SRS116688
SAMN00115154	PRJNA47685	42095	SRS116687
SAMN00115153	PRJNA47685	42091	SRS116686
SAMN00115152	PRJNA47685	42082	SRS116685
SAMN00115151	PRJNA47685	42013	SRS116684
SAMN00115150	PRJNA47685	A1973001	SRS116683
SAMN00115149	PRJNA47685	G1996006	SRS116682
SAMN00115148	PRJNA47685	G1996010	SRS116681
SAMN00115147	PRJNA47685	351001	SRS116680
SAMN00115146	PRJNA47685	34202	SRS116679
SAMN00115145	PRJNA47685	34008	SRS116678
SAMN00115144	PRJNA47685	735	SRS116677
SAMN00115143	PRJNA47685	30017	SRS116676
SAMN00115142	PRJNA47685	2654	SRS116675
SAMN00115141	PRJNA47685	2506	SRS116674
SAMN00115140	PRJNA47685	2504	SRS116673
SAMN00115139	PRJNA47685	2330	SRS116672
SAMN00115138	PRJNA47685	2	SRS116671
SAMN00115137	PRJNA47685	164	SRS116670
SAMN00115136	PRJNA47685	5761	SRS116669
SAMN00115135	PRJNA47685	12	SRS116668
SAMN00115134	PRJNA47685	I1991001	SRS116667
