#Position (bp)	mapping quality
6038.0	59.976444756644895
18113.0	60.0
30188.0	59.987005674188936
42263.0	59.99124124124124
54338.0	60.0
66413.0	60.0
78488.0	60.0
90563.0	60.0
102638.0	59.867390558207745
114713.0	59.94630227345236
126788.0	59.917728852838934
138863.0	60.0
150938.0	60.0
163013.0	60.0
175088.0	60.0
187163.0	60.0
199238.0	60.0
211313.0	59.99974675102671
223388.0	60.0
235463.0	60.0
247538.0	59.99291607437178
259613.0	60.0
271688.0	60.0
283763.0	60.0
295838.0	60.0
307913.0	59.523085429914296
319988.0	59.99896512898632
332063.0	60.0
344138.0	60.0
356213.0	60.0
368288.0	59.95140388768898
380363.0	60.0
392438.0	60.0
404513.0	59.915356711003625
416588.0	60.0
428663.0	60.0
440738.0	60.0
452813.0	60.0
464888.0	60.0
476963.0	60.0
489038.0	60.0
501113.0	60.0
513188.0	59.97728747566515
525263.0	59.943844492440604
537338.0	60.0
549413.0	60.0
561488.0	60.0
573563.0	59.9171974522293
585638.0	59.940520249550595
597713.0	60.0
609788.0	59.93757649938801
621863.0	60.0
633938.0	59.97243210579014
646013.0	60.0
658088.0	59.21813096568697
670163.0	60.0
682238.0	59.88602208638682
694313.0	59.798026282149614
706388.0	60.0
718463.0	60.0
730538.0	60.0
742613.0	60.0
754688.0	59.940175699369085
766763.0	59.937231198419155
778838.0	60.0
790913.0	59.62917181705809
802988.0	58.92030236819848
815063.0	59.91650177521436
827138.0	59.31619993940224
839213.0	60.0
851288.0	59.793983746755735
863363.0	60.0
875438.0	60.0
887513.0	60.0
899588.0	60.0
911663.0	60.0
923738.0	60.0
935813.0	60.0
947888.0	60.0
959963.0	59.81143838666582
972038.0	60.0
984113.0	59.85494427737485
996188.0	60.0
1008263.0	59.8210015775366
1020338.0	59.939305355992666
1032413.0	60.0
1044488.0	60.0
1056563.0	60.0
1068638.0	57.8201417129868
1080713.0	55.957356146647655
1092788.0	60.0
1104863.0	60.0
1116938.0	59.83704317477057
1129013.0	58.53290183387271
1141088.0	59.96473265073948
1153163.0	59.967177242888404
1165238.0	60.0
1177313.0	59.958934901011496
1189388.0	60.0
1201463.0	60.0
1213538.0	59.971925884334645
1225613.0	59.92741079903959
1237688.0	59.961188410859485
1249763.0	59.851253718657034
1261838.0	0.0
1273913.0	0.0
1285988.0	0.0
1298063.0	0.0
1310138.0	59.949332571786535
1322213.0	59.971660272061385
1334288.0	60.0
1346363.0	59.97912628596988
1358438.0	60.0
1370513.0	60.0
1382588.0	59.949001514763516
1394663.0	60.0
1406738.0	60.0
1418813.0	59.72833601460933
1430888.0	59.92901648394984
1442963.0	60.0
1455038.0	60.0
1467113.0	59.94925436250793
1479188.0	60.0
1491263.0	60.0
1503338.0	59.96246973365617
1515413.0	60.0
1527488.0	60.0
1539563.0	59.99241767764298
1551638.0	59.97216665217013
1563713.0	59.92288732840951
1575788.0	60.0
1587863.0	60.0
1599938.0	59.99527944446515
1612013.0	60.0
1624088.0	59.83109919571046
1636163.0	60.0
1648238.0	59.99527948355894
1660313.0	58.9218725344087
1672388.0	59.341225970257526
1684463.0	60.0
1696538.0	59.94077448747153
1708613.0	60.0
1720688.0	59.97272116837334
1732763.0	60.0
1744838.0	60.0
1756913.0	60.0
1768988.0	60.0
1781063.0	59.97263397947548
1793138.0	60.0
1805213.0	59.95785876993166
1817288.0	59.88305489260143
1829363.0	59.94447015270708
1841438.0	59.948462463494245
1853513.0	60.0
1865588.0	60.0
1877663.0	60.0
1889738.0	60.0
1901813.0	59.135529515808095
1913888.0	60.0
1925963.0	59.90236464797774
1938038.0	60.0
1950113.0	60.0
1962188.0	60.0
1974263.0	59.890243902439025
1986338.0	60.0
1998413.0	60.0
2010488.0	60.0
2022563.0	60.0
2034638.0	59.80974790504015
2046713.0	59.8636208660075
2058788.0	60.0
2070863.0	60.0
2082938.0	60.0
2095013.0	60.0
2107088.0	60.0
2119163.0	60.0
2131238.0	59.99513076410291
2143313.0	59.99171642908232
2155388.0	60.0
2167463.0	60.0
2179538.0	60.0
2191613.0	60.0
2203688.0	59.99527948355894
2215763.0	60.0
2227838.0	60.0
2239913.0	59.968501952878924
2251988.0	60.0
2264063.0	59.987594916061795
2276138.0	60.0
2288213.0	60.0
2300288.0	59.94235836627141
2312363.0	60.0
2324438.0	59.984098325354886
2336513.0	59.99288210994598
2348588.0	60.0
2360663.0	59.95844996077444
2372738.0	59.94646924829157
2384813.0	59.96016022051856
2396888.0	60.0
2408963.0	59.94077448747153
2421038.0	60.0
2433113.0	60.0
2445188.0	59.856031128404666
2457263.0	60.0
2469338.0	59.95102617252454
2481413.0	59.940840659204085
2493488.0	60.0
2505563.0	60.0
2517638.0	60.0
2529713.0	60.0
2541788.0	60.0
2553863.0	59.95983039500111
2565938.0	60.0
2578013.0	60.0
2590088.0	60.0
2602163.0	59.937365010799134
2614238.0	60.0
2626313.0	60.0
2638388.0	59.96972972972973
2650463.0	59.926604155493656
2662538.0	59.961344705471596
2674613.0	60.0
2686688.0	59.97350443579904
2698763.0	60.0
2710838.0	60.0
2722913.0	60.0
2734988.0	60.0
2747063.0	59.9498861047836
2759138.0	60.0
2771213.0	60.0
2783288.0	59.567940552016985
2795363.0	59.608277383380454
2807438.0	60.0
2819513.0	60.0
