#Coverage	Number of genomic locations
0.0	382970.0
1.0	23878.0
2.0	20799.0
3.0	23246.0
4.0	26108.0
5.0	27135.0
6.0	29916.0
7.0	31829.0
8.0	34603.0
9.0	37341.0
10.0	42101.0
11.0	47652.0
12.0	55359.0
13.0	63202.0
14.0	75940.0
15.0	89527.0
16.0	107958.0
17.0	129583.0
18.0	151968.0
19.0	174585.0
20.0	197769.0
21.0	221221.0
22.0	240247.0
23.0	252199.0
24.0	255923.0
25.0	254453.0
26.0	249019.0
27.0	234683.0
28.0	217680.0
29.0	195130.0
30.0	171244.0
31.0	146942.0
32.0	122231.0
33.0	99623.0
34.0	80917.0
35.0	63309.0
36.0	49499.0
37.0	37045.0
38.0	28373.0
39.0	21859.0
40.0	16058.0
41.0	11885.0
42.0	8650.0
43.0	6284.0
44.0	4628.0
45.0	3382.0
46.0	2739.0
47.0	2044.0
48.0	1690.0
49.0	1444.0
50.0	1322.0
51.0	1208.0
52.0	1011.0
53.0	914.0
54.0	807.0
55.0	820.0
56.0	930.0
57.0	901.0
58.0	1020.0
59.0	1061.0
60.0	1091.0
61.0	1073.0
62.0	1144.0
63.0	1227.0
64.0	1358.0
65.0	1519.0
66.0	1446.0
67.0	1574.0
68.0	1647.0
69.0	1680.0
70.0	1745.0
71.0	1942.0
72.0	2016.0
73.0	2177.0
74.0	2134.0
75.0	2221.0
76.0	2141.0
77.0	2196.0
78.0	1998.0
79.0	1900.0
80.0	1776.0
81.0	1628.0
82.0	1443.0
83.0	1157.0
84.0	1043.0
85.0	956.0
86.0	796.0
87.0	710.0
88.0	584.0
89.0	443.0
90.0	338.0
91.0	236.0
92.0	150.0
93.0	113.0
94.0	80.0
95.0	82.0
96.0	55.0
97.0	21.0
98.0	47.0
99.0	27.0
100.0	14.0
101.0	12.0
102.0	7.0
103.0	15.0
104.0	3.0
105.0	3.0
106.0	6.0
107.0	6.0
108.0	2.0
109.0	3.0
110.0	5.0
111.0	1.0
