#Coverage	Number of genomic locations
0.0	452204.0
1.0	22116.0
2.0	19899.0
3.0	21455.0
4.0	24229.0
5.0	25792.0
6.0	28098.0
7.0	29527.0
8.0	30968.0
9.0	31348.0
10.0	32997.0
11.0	35344.0
12.0	37537.0
13.0	40665.0
14.0	43400.0
15.0	48779.0
16.0	54259.0
17.0	61017.0
18.0	68262.0
19.0	76727.0
20.0	86059.0
21.0	98533.0
22.0	108560.0
23.0	120125.0
24.0	131402.0
25.0	144051.0
26.0	156527.0
27.0	167620.0
28.0	178870.0
29.0	187699.0
30.0	193275.0
31.0	196839.0
32.0	197879.0
33.0	194321.0
34.0	187387.0
35.0	176817.0
36.0	164743.0
37.0	151265.0
38.0	135358.0
39.0	119520.0
40.0	103552.0
41.0	88911.0
42.0	74822.0
43.0	61381.0
44.0	49340.0
45.0	40273.0
46.0	31500.0
47.0	24530.0
48.0	18711.0
49.0	14063.0
50.0	10333.0
51.0	7720.0
52.0	5778.0
53.0	4323.0
54.0	2997.0
55.0	2276.0
56.0	1682.0
57.0	1212.0
58.0	920.0
59.0	731.0
60.0	593.0
61.0	548.0
62.0	398.0
63.0	390.0
64.0	315.0
65.0	245.0
66.0	164.0
67.0	140.0
68.0	128.0
69.0	116.0
70.0	62.0
71.0	42.0
72.0	41.0
73.0	35.0
74.0	24.0
75.0	22.0
76.0	4.0
77.0	6.0
78.0	3.0
79.0	6.0
80.0	3.0
81.0	4.0
82.0	6.0
83.0	16.0
84.0	12.0
85.0	3.0
86.0	1.0
