#Coverage	Number of genomic locations
0.0	595406.0
1.0	23019.0
2.0	20327.0
3.0	25159.0
4.0	27915.0
5.0	30910.0
6.0	31641.0
7.0	33686.0
8.0	36981.0
9.0	38115.0
10.0	41398.0
11.0	46714.0
12.0	52782.0
13.0	60818.0
14.0	68623.0
15.0	78959.0
16.0	92970.0
17.0	106367.0
18.0	121254.0
19.0	136597.0
20.0	151158.0
21.0	167602.0
22.0	181327.0
23.0	194262.0
24.0	203934.0
25.0	211232.0
26.0	214288.0
27.0	213589.0
28.0	206748.0
29.0	196319.0
30.0	184310.0
31.0	165733.0
32.0	148530.0
33.0	129764.0
34.0	112604.0
35.0	95180.0
36.0	79423.0
37.0	65002.0
38.0	51543.0
39.0	40270.0
40.0	31649.0
41.0	24393.0
42.0	18477.0
43.0	14375.0
44.0	10967.0
45.0	8334.0
46.0	6507.0
47.0	5156.0
48.0	3849.0
49.0	3089.0
50.0	2496.0
51.0	1875.0
52.0	1439.0
53.0	1167.0
54.0	1084.0
55.0	861.0
56.0	692.0
57.0	680.0
58.0	547.0
59.0	480.0
60.0	411.0
61.0	261.0
62.0	200.0
63.0	144.0
64.0	131.0
65.0	103.0
66.0	121.0
67.0	101.0
68.0	70.0
69.0	78.0
70.0	59.0
71.0	56.0
72.0	32.0
73.0	15.0
74.0	40.0
75.0	44.0
76.0	25.0
77.0	22.0
78.0	30.0
79.0	34.0
80.0	30.0
81.0	41.0
82.0	37.0
83.0	47.0
84.0	45.0
85.0	42.0
86.0	27.0
87.0	28.0
88.0	26.0
89.0	31.0
90.0	43.0
91.0	41.0
92.0	48.0
93.0	55.0
94.0	55.0
95.0	72.0
96.0	90.0
97.0	78.0
98.0	100.0
99.0	86.0
100.0	72.0
101.0	77.0
102.0	76.0
103.0	72.0
104.0	73.0
105.0	82.0
106.0	73.0
107.0	76.0
108.0	78.0
109.0	64.0
110.0	60.0
111.0	65.0
112.0	69.0
113.0	78.0
114.0	72.0
115.0	75.0
116.0	80.0
117.0	72.0
118.0	93.0
119.0	125.0
120.0	110.0
121.0	100.0
122.0	117.0
123.0	144.0
124.0	151.0
125.0	161.0
126.0	159.0
127.0	148.0
128.0	171.0
129.0	164.0
130.0	159.0
131.0	176.0
132.0	175.0
133.0	142.0
134.0	170.0
135.0	184.0
136.0	141.0
137.0	156.0
138.0	132.0
139.0	136.0
140.0	139.0
141.0	128.0
142.0	130.0
143.0	114.0
144.0	113.0
145.0	115.0
146.0	115.0
147.0	150.0
148.0	119.0
149.0	122.0
150.0	104.0
151.0	60.0
152.0	34.0
153.0	27.0
154.0	33.0
155.0	28.0
156.0	33.0
157.0	29.0
158.0	45.0
159.0	37.0
160.0	37.0
161.0	19.0
162.0	13.0
163.0	4.0
164.0	2.0
165.0	2.0
