#Coverage (X)	Coverage
1.0	95.4836325314114
2.0	95.4574619734961
3.0	95.34037771320257
4.0	95.25745596917506
5.0	95.13968845855621
6.0	95.05173550758771
7.0	94.9154995336299
8.0	94.82369553537322
9.0	94.69010974449543
10.0	94.60544881782165
11.0	94.4647613644716
12.0	94.37639432239685
13.0	94.23560334627022
14.0	94.14408921178793
15.0	94.00656955540073
16.0	93.90470314326207
17.0	93.74486397624773
18.0	93.63386685521616
19.0	93.46108734113136
20.0	93.30008871901951
21.0	0.08499219955878345
22.0	0.02223669240588322
23.0	0.019110304553663582
24.0	0.018157895009281333
25.0	0.015321370931431488
26.0	0.015155734488928374
27.0	0.012277801300456304
28.0	0.011677369196391396
29.0	0.0077020945763450754
30.0	0.00766068546572285
31.0	0.006252775704453484
32.0	0.006169957483209032
33.0	0.005114025162257008
34.0	0.005072616051634782
35.0	0.003664706290365416
36.0	0.0035818880691209642
37.0	0.002505251192857827
38.0	0.0024224329716133752
39.0	0.0010352277656551223
40.0	0.0010352277656551223
41.0	1.4210854715202004E-14
42.0	1.4210854715202004E-14
43.0	1.4210854715202004E-14
44.0	1.4210854715202004E-14
45.0	1.4210854715202004E-14
46.0	1.4210854715202004E-14
47.0	1.4210854715202004E-14
48.0	1.4210854715202004E-14
49.0	1.4210854715202004E-14
50.0	1.4210854715202004E-14
51.0	1.4210854715202004E-14
