#Read position (bp)	Clipping profile
0.0	5.840927920463961
1.0	5.840927920463961
2.0	3.5625517812758902
3.0	1.8227009113504555
4.0	1.4913007456503728
5.0	1.3256006628003314
6.0	0.8699254349627175
7.0	0.579950289975145
8.0	0.3728251864125932
9.0	0.24855012427506215
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	0.0
22.0	0.0
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	0.0
58.0	0.0
59.0	0.0
60.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
67.0	0.0
68.0	0.0
69.0	0.0
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
101.0	0.0
102.0	0.0
103.0	0.0
104.0	0.0
105.0	0.0
106.0	0.0
107.0	0.0
108.0	0.0
109.0	0.0
110.0	0.0
111.0	0.0
112.0	0.0
113.0	0.0
114.0	0.0
115.0	0.0
116.0	0.0
117.0	0.0
118.0	0.0
119.0	0.0
120.0	0.0
121.0	0.0
122.0	0.0
123.0	0.0
124.0	0.0
125.0	0.0
126.0	0.0
127.0	0.0
128.0	0.0
129.0	0.0
130.0	0.0
131.0	0.0
132.0	0.0
133.0	0.041425020712510356
134.0	0.041425020712510356
135.0	0.08285004142502071
136.0	0.08285004142502071
137.0	0.08285004142502071
138.0	0.08285004142502071
139.0	0.08285004142502071
140.0	0.08285004142502071
141.0	0.08285004142502071
142.0	0.08285004142502071
143.0	0.08285004142502071
144.0	0.08285004142502071
145.0	0.08285004142502071
146.0	0.08285004142502071
147.0	0.08285004142502071
148.0	0.08285004142502071
149.0	0.08285004142502071
150.0	0.08285004142502071
151.0	0.08285004142502071
152.0	0.08285004142502071
153.0	0.08285004142502071
154.0	0.08285004142502071
155.0	0.08285004142502071
156.0	0.08285004142502071
157.0	0.08285004142502071
158.0	0.12427506213753108
159.0	0.12427506213753108
160.0	0.16570008285004142
161.0	0.16570008285004142
162.0	0.16570008285004142
163.0	0.16570008285004142
164.0	0.16570008285004142
165.0	0.16570008285004142
166.0	0.16570008285004142
167.0	0.16570008285004142
168.0	0.16570008285004142
169.0	0.16570008285004142
170.0	0.16570008285004142
171.0	0.16570008285004142
172.0	0.16570008285004142
173.0	0.16570008285004142
174.0	0.16570008285004142
175.0	0.16570008285004142
176.0	0.16570008285004142
177.0	0.24855012427506215
178.0	0.24855012427506215
179.0	0.24855012427506215
180.0	0.24855012427506215
181.0	0.24855012427506215
182.0	0.24855012427506215
183.0	0.2899751449875725
184.0	0.2899751449875725
185.0	0.33140016570008285
186.0	0.33140016570008285
187.0	0.33140016570008285
188.0	0.33140016570008285
189.0	0.33140016570008285
190.0	0.33140016570008285
191.0	0.33140016570008285
192.0	0.3728251864125932
193.0	0.3728251864125932
194.0	0.3728251864125932
195.0	0.3728251864125932
196.0	0.3728251864125932
197.0	0.3728251864125932
198.0	0.3728251864125932
199.0	0.3728251864125932
200.0	0.4556752278376139
201.0	0.4556752278376139
202.0	0.4971002485501243
203.0	0.579950289975145
204.0	0.579950289975145
205.0	0.579950289975145
206.0	0.579950289975145
207.0	0.579950289975145
208.0	0.6213753106876554
209.0	0.6213753106876554
210.0	0.7042253521126761
211.0	0.7042253521126761
212.0	0.7456503728251864
213.0	0.7456503728251864
214.0	0.7456503728251864
215.0	0.7456503728251864
216.0	0.7456503728251864
217.0	0.7870753935376968
218.0	0.7870753935376968
219.0	0.7870753935376968
220.0	0.7870753935376968
221.0	0.7870753935376968
222.0	0.7870753935376968
223.0	0.7870753935376968
224.0	0.7870753935376968
225.0	0.8285004142502072
226.0	0.8285004142502072
227.0	0.8699254349627175
228.0	0.9113504556752278
229.0	0.9113504556752278
230.0	0.9113504556752278
231.0	0.9113504556752278
232.0	0.9113504556752278
233.0	0.9527754763877383
234.0	0.9527754763877383
235.0	1.035625517812759
236.0	1.035625517812759
237.0	1.0770505385252693
238.0	1.0770505385252693
239.0	1.0770505385252693
240.0	1.284175642087821
241.0	1.6155758077879039
242.0	2.0298260149130076
243.0	2.3612261806130905
244.0	2.5269262634631318
245.0	2.8583264291632147
246.0	2.899751449875725
247.0	4.68102734051367
248.0	7.042253521126761
249.0	7.042253521126761
