#Coverage	Number of genomic locations
0.0	316950.0
1.0	4157.0
2.0	5679.0
3.0	4426.0
4.0	6026.0
5.0	4458.0
6.0	6211.0
7.0	4994.0
8.0	6413.0
9.0	5085.0
10.0	6717.0
11.0	5705.0
12.0	7292.0
13.0	5588.0
14.0	7692.0
15.0	6889.0
16.0	10027.0
17.0	8727.0
18.0	15548.0
19.0	17453.0
20.0	4365511.0
21.0	744.0
22.0	683.0
23.0	575.0
24.0	669.0
25.0	239.0
26.0	360.0
27.0	297.0
28.0	326.0
29.0	328.0
30.0	353.0
31.0	254.0
32.0	285.0
33.0	142.0
34.0	177.0
35.0	122.0
36.0	148.0
37.0	80.0
38.0	365.0
39.0	123.0
40.0	1549.0
41.0	49.0
42.0	12.0
43.0	5.0
44.0	21.0
45.0	12.0
46.0	5.0
47.0	10.0
48.0	14.0
49.0	4.0
50.0	5.0
51.0	7.0
52.0	3.0
53.0	10.0
54.0	15.0
55.0	12.0
56.0	30.0
57.0	12.0
58.0	8.0
59.0	3.0
60.0	2.0
61.0	4.0
62.0	7.0
63.0	11.0
64.0	2.0
65.0	22.0
66.0	1.0
67.0	8.0
68.0	2.0
69.0	17.0
70.0	2.0
71.0	6.0
72.0	8.0
73.0	2.0
74.0	26.0
75.0	7.0
76.0	7.0
77.0	11.0
78.0	26.0
79.0	15.0
80.0	14.0
81.0	10.0
82.0	18.0
83.0	10.0
84.0	1.0
85.0	12.0
