#Coverage	Number of genomic locations
0.0	910894.0
1.0	983136.0
2.0	922153.0
3.0	684552.0
4.0	460530.0
5.0	285862.0
6.0	169972.0
7.0	105969.0
8.0	69059.0
9.0	45410.0
10.0	31941.0
11.0	23121.0
12.0	18764.0
13.0	14546.0
14.0	12023.0
15.0	9733.0
16.0	8070.0
17.0	6670.0
18.0	5730.0
19.0	4993.0
20.0	4957.0
21.0	4254.0
22.0	3780.0
23.0	3364.0
24.0	2859.0
25.0	2625.0
26.0	2391.0
27.0	2171.0
28.0	2023.0
29.0	1859.0
30.0	1649.0
31.0	1457.0
32.0	1219.0
33.0	1148.0
34.0	1082.0
35.0	1090.0
36.0	963.0
37.0	921.0
38.0	864.0
39.0	771.0
40.0	809.0
41.0	693.0
42.0	734.0
43.0	615.0
44.0	616.0
45.0	530.0
46.0	518.0
47.0	483.0
48.0	528.0
49.0	433.0
50.0	393.0
51.0	382.0
52.0	361.0
53.0	338.0
54.0	346.0
55.0	311.0
56.0	243.0
57.0	266.0
58.0	224.0
59.0	270.0
60.0	229.0
61.0	211.0
62.0	195.0
63.0	209.0
64.0	185.0
65.0	175.0
66.0	197.0
67.0	194.0
68.0	207.0
69.0	183.0
70.0	154.0
71.0	175.0
72.0	168.0
73.0	169.0
74.0	156.0
75.0	149.0
76.0	201.0
77.0	129.0
78.0	155.0
79.0	131.0
80.0	139.0
81.0	127.0
82.0	107.0
83.0	140.0
84.0	102.0
85.0	78.0
86.0	118.0
87.0	137.0
88.0	88.0
89.0	58.0
90.0	70.0
91.0	71.0
92.0	76.0
93.0	84.0
94.0	74.0
95.0	80.0
96.0	54.0
97.0	69.0
98.0	66.0
99.0	54.0
100.0	73.0
101.0	69.0
102.0	54.0
103.0	52.0
104.0	48.0
105.0	49.0
106.0	60.0
107.0	56.0
108.0	45.0
109.0	37.0
110.0	51.0
111.0	43.0
112.0	33.0
113.0	37.0
114.0	34.0
115.0	17.0
116.0	10.0
117.0	8.0
118.0	6.0
119.0	8.0
120.0	4.0
121.0	6.0
122.0	5.0
123.0	4.0
124.0	5.0
125.0	3.0
126.0	6.0
