#Coverage	Number of genomic locations
0.0	258323.0
1.0	29217.0
2.0	29335.0
3.0	33964.0
4.0	39783.0
5.0	47248.0
6.0	54553.0
7.0	63739.0
8.0	74784.0
9.0	87182.0
10.0	100541.0
11.0	111324.0
12.0	125206.0
13.0	137451.0
14.0	148589.0
15.0	159835.0
16.0	169495.0
17.0	174916.0
18.0	179348.0
19.0	181566.0
20.0	183169.0
21.0	184353.0
22.0	178824.0
23.0	174273.0
24.0	168967.0
25.0	160859.0
26.0	151210.0
27.0	144192.0
28.0	134599.0
29.0	124342.0
30.0	113348.0
31.0	104548.0
32.0	94142.0
33.0	84641.0
34.0	75709.0
35.0	67827.0
36.0	59480.0
37.0	52630.0
38.0	45936.0
39.0	40626.0
40.0	35368.0
41.0	31067.0
42.0	27101.0
43.0	23561.0
44.0	20253.0
45.0	17120.0
46.0	14980.0
47.0	12795.0
48.0	11022.0
49.0	9449.0
50.0	8029.0
51.0	7103.0
52.0	6015.0
53.0	5102.0
54.0	4564.0
55.0	4035.0
56.0	3433.0
57.0	3064.0
58.0	2841.0
59.0	2539.0
60.0	2195.0
61.0	2016.0
62.0	1807.0
63.0	1711.0
64.0	1576.0
65.0	1471.0
66.0	1397.0
67.0	1337.0
68.0	1196.0
69.0	1027.0
70.0	970.0
71.0	938.0
72.0	803.0
73.0	694.0
74.0	660.0
75.0	636.0
76.0	611.0
77.0	547.0
78.0	566.0
79.0	472.0
80.0	378.0
81.0	379.0
82.0	352.0
83.0	313.0
84.0	273.0
85.0	300.0
86.0	244.0
87.0	222.0
88.0	230.0
89.0	197.0
90.0	174.0
91.0	136.0
92.0	103.0
93.0	119.0
94.0	111.0
95.0	119.0
96.0	97.0
97.0	102.0
98.0	84.0
99.0	76.0
100.0	94.0
101.0	96.0
102.0	70.0
103.0	92.0
104.0	99.0
105.0	74.0
106.0	60.0
107.0	64.0
108.0	61.0
109.0	52.0
110.0	63.0
111.0	56.0
112.0	54.0
113.0	61.0
114.0	72.0
115.0	60.0
116.0	60.0
117.0	64.0
118.0	66.0
119.0	48.0
120.0	69.0
121.0	49.0
122.0	62.0
123.0	52.0
124.0	56.0
125.0	51.0
126.0	58.0
127.0	85.0
128.0	82.0
129.0	60.0
130.0	69.0
131.0	79.0
132.0	59.0
133.0	57.0
134.0	60.0
135.0	69.0
136.0	67.0
137.0	67.0
138.0	56.0
139.0	71.0
140.0	56.0
141.0	59.0
142.0	68.0
143.0	60.0
144.0	71.0
145.0	59.0
146.0	75.0
147.0	71.0
148.0	64.0
149.0	60.0
150.0	47.0
151.0	54.0
152.0	39.0
153.0	29.0
154.0	18.0
155.0	27.0
156.0	18.0
157.0	22.0
158.0	15.0
159.0	21.0
160.0	17.0
161.0	21.0
162.0	12.0
163.0	21.0
164.0	19.0
165.0	13.0
166.0	5.0
167.0	2.0
168.0	2.0
169.0	7.0
170.0	4.0
171.0	1.0
