#Coverage	Number of genomic locations
0.0	235207.0
1.0	1370.0
2.0	6255.0
3.0	4520.0
4.0	6928.0
5.0	4836.0
6.0	6945.0
7.0	5003.0
8.0	7186.0
9.0	4914.0
10.0	7621.0
11.0	5623.0
12.0	7642.0
13.0	5197.0
14.0	8030.0
15.0	7064.0
16.0	10599.0
17.0	7629.0
18.0	20562.0
19.0	15534.0
20.0	4445314.0
21.0	3569.0
22.0	430.0
23.0	459.0
24.0	110.0
25.0	301.0
26.0	124.0
27.0	87.0
28.0	84.0
29.0	67.0
30.0	83.0
31.0	59.0
32.0	66.0
33.0	121.0
34.0	49.0
35.0	26.0
36.0	94.0
37.0	33.0
38.0	13.0
39.0	32.0
40.0	2.0
41.0	21.0
42.0	4.0
43.0	28.0
44.0	2.0
45.0	12.0
