#Coverage	Number of genomic locations
0.0	265643.0
1.0	924.0
2.0	6524.0
3.0	4988.0
4.0	6654.0
5.0	5302.0
6.0	6675.0
7.0	5358.0
8.0	7588.0
9.0	5561.0
10.0	7771.0
11.0	6134.0
12.0	7682.0
13.0	6139.0
14.0	8428.0
15.0	6757.0
16.0	9956.0
17.0	9049.0
18.0	21747.0
19.0	16821.0
20.0	4407973.0
21.0	3771.0
22.0	549.0
23.0	356.0
24.0	312.0
25.0	79.0
26.0	219.0
27.0	157.0
28.0	80.0
29.0	63.0
30.0	106.0
31.0	124.0
32.0	104.0
33.0	57.0
34.0	27.0
35.0	4.0
36.0	6.0
37.0	12.0
38.0	10.0
39.0	43.0
40.0	24.0
41.0	12.0
42.0	5.0
43.0	17.0
44.0	10.0
45.0	12.0
46.0	9.0
47.0	13.0
