#Coverage (X)	Coverage
1.0	94.12636611244022
2.0	94.10866371764784
3.0	93.92977635974579
4.0	93.81095291680599
5.0	93.65513043352233
6.0	93.53092380620122
7.0	93.35835133766956
8.0	93.23658784787536
9.0	93.070061109495
10.0	92.94898087002612
11.0	92.79015622622211
12.0	92.6635064613741
13.0	92.49532335856874
14.0	92.36078515814657
15.0	92.19102850913744
16.0	92.05953387834624
17.0	91.85097689268105
18.0	91.66782439638457
19.0	91.23816346453465
20.0	90.88320456825309
21.0	0.1135230767797566
22.0	0.025342375702805953
23.0	0.02231951062714188
24.0	0.021594851191196085
25.0	0.018737622558035127
26.0	0.01801296312208933
27.0	0.015114325378306148
28.0	0.013354438176719441
29.0	0.01053861865418071
30.0	0.008509572233535323
31.0	0.006936026029762843
32.0	0.005673048155685478
33.0	0.0035197744031592038
34.0	0.0019255236440756107
35.0	0.0010559323209378135
36.0	9.52409544368038E-4
37.0	4.7620477216980817E-4
38.0	3.726819956000327E-4
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
