#Coverage	Number of genomic locations
0.0	372502.0
1.0	1599.0
2.0	4750.0
3.0	4146.0
4.0	4967.0
5.0	4813.0
6.0	5419.0
7.0	4898.0
8.0	5546.0
9.0	4505.0
10.0	5555.0
11.0	4931.0
12.0	5904.0
13.0	5104.0
14.0	5721.0
15.0	4946.0
16.0	5923.0
17.0	5839.0
18.0	7359.0
19.0	7171.0
20.0	4355049.0
21.0	3206.0
22.0	2.0
