#Coverage	Number of genomic locations
0.0	287372.0
1.0	41456.0
2.0	53917.0
3.0	73492.0
4.0	99542.0
5.0	128292.0
6.0	158462.0
7.0	190657.0
8.0	220340.0
9.0	244100.0
10.0	262000.0
11.0	274058.0
12.0	277692.0
13.0	271854.0
14.0	263084.0
15.0	249418.0
16.0	230364.0
17.0	210257.0
18.0	190107.0
19.0	168734.0
20.0	148142.0
21.0	126620.0
22.0	109229.0
23.0	92587.0
24.0	77278.0
25.0	65372.0
26.0	53008.0
27.0	44161.0
28.0	36066.0
29.0	28961.0
30.0	23786.0
31.0	19666.0
32.0	16404.0
33.0	13815.0
34.0	11354.0
35.0	8953.0
36.0	7446.0
37.0	6467.0
38.0	5692.0
39.0	5015.0
40.0	4202.0
41.0	3640.0
42.0	3040.0
43.0	2655.0
44.0	2291.0
45.0	1969.0
46.0	1783.0
47.0	1616.0
48.0	1396.0
49.0	1261.0
50.0	1108.0
51.0	878.0
52.0	847.0
53.0	690.0
54.0	612.0
55.0	559.0
56.0	501.0
57.0	369.0
58.0	307.0
59.0	278.0
60.0	274.0
61.0	219.0
62.0	151.0
63.0	153.0
64.0	164.0
65.0	123.0
66.0	112.0
67.0	103.0
68.0	89.0
69.0	96.0
70.0	108.0
71.0	100.0
72.0	117.0
73.0	119.0
74.0	107.0
75.0	111.0
76.0	98.0
77.0	103.0
78.0	85.0
79.0	107.0
80.0	107.0
81.0	103.0
82.0	127.0
83.0	102.0
84.0	105.0
85.0	108.0
86.0	102.0
87.0	122.0
88.0	121.0
89.0	93.0
90.0	93.0
91.0	85.0
92.0	90.0
93.0	88.0
94.0	89.0
95.0	79.0
96.0	63.0
97.0	66.0
98.0	67.0
99.0	68.0
100.0	42.0
101.0	31.0
102.0	45.0
103.0	23.0
104.0	26.0
105.0	25.0
106.0	16.0
107.0	5.0
109.0	1.0
110.0	2.0
