#Mapping quality	mapping quality
30.0	350.0
31.0	86.0
32.0	175.0
33.0	169.0
34.0	766.0
35.0	369.0
36.0	1974.0
37.0	305.0
38.0	245.0
39.0	487.0
40.0	645.0
41.0	706.0
42.0	785.0
43.0	914.0
44.0	972.0
45.0	1301.0
46.0	1035.0
47.0	1207.0
48.0	1414.0
49.0	2078.0
50.0	1580.0
51.0	1951.0
52.0	1890.0
53.0	1724.0
54.0	2380.0
55.0	2658.0
56.0	3533.0
57.0	5226.0
58.0	5411.0
59.0	5729.0
60.0	4409744.0
