#Coverage (X)	Coverage
1.0	93.65430225130982
2.0	93.61999480315662
3.0	93.49411110685517
4.0	93.39412880924996
5.0	93.25903158583436
6.0	93.16198933508356
7.0	93.025836179347
8.0	92.92349356243614
9.0	92.78421401884735
10.0	92.67851726397583
11.0	92.5355730140967
12.0	92.42256755119978
13.0	92.27026484231928
14.0	92.14129616727624
15.0	91.96853735774677
16.0	91.84615273129317
17.0	91.65386952610379
18.0	91.4604475703722
19.0	91.11020931270193
20.0	90.78092406500816
21.0	0.13325451799278198
22.0	0.06697923643670833
23.0	0.04838654576586521
24.0	0.04374872537580643
25.0	0.038179199996676516
26.0	0.02828242255718294
27.0	0.020435396093660074
28.0	0.016460121473613754
29.0	0.011863710194191412
30.0	0.008758026897282889
31.0	0.006666866810689953
32.0	0.004844865943169907
33.0	8.488867678124734E-4
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
