#Mapping quality	mapping quality
30.0	51.0
31.0	44.0
32.0	118.0
33.0	606.0
34.0	202.0
35.0	545.0
36.0	521.0
37.0	213.0
38.0	274.0
39.0	199.0
40.0	221.0
41.0	247.0
42.0	312.0
43.0	271.0
44.0	624.0
45.0	337.0
46.0	298.0
47.0	552.0
48.0	943.0
49.0	838.0
50.0	760.0
51.0	464.0
52.0	816.0
53.0	723.0
54.0	930.0
55.0	988.0
56.0	1227.0
57.0	1769.0
58.0	2061.0
59.0	2229.0
60.0	4493594.0
