#Coverage	Number of genomic locations
0.0	345833.0
1.0	3260.0
2.0	7711.0
3.0	4804.0
4.0	7948.0
5.0	5364.0
6.0	7960.0
7.0	5230.0
8.0	8108.0
9.0	5207.0
10.0	8284.0
11.0	5423.0
12.0	8386.0
13.0	5358.0
14.0	8591.0
15.0	5624.0
16.0	8817.0
17.0	6475.0
18.0	10766.0
19.0	8348.0
20.0	4350481.0
21.0	1870.0
22.0	7.0
