#Mapping quality	mapping quality
30.0	97.0
31.0	11.0
32.0	91.0
33.0	390.0
34.0	116.0
35.0	192.0
36.0	794.0
37.0	174.0
38.0	316.0
39.0	117.0
40.0	331.0
41.0	221.0
42.0	241.0
43.0	407.0
44.0	839.0
45.0	529.0
46.0	596.0
47.0	628.0
48.0	728.0
49.0	885.0
50.0	929.0
51.0	1469.0
52.0	1280.0
53.0	1176.0
54.0	1856.0
55.0	2165.0
56.0	2663.0
57.0	2126.0
58.0	3954.0
59.0	3501.0
60.0	4427008.0
