#Coverage (X)	Coverage
1.0	90.41613050495305
2.0	90.40033292924943
3.0	89.70623341694522
4.0	89.32673962261806
5.0	88.56298998624182
6.0	87.92326063618887
7.0	87.22777391867872
8.0	86.71225119594688
9.0	86.07595880207583
10.0	85.57811776958107
11.0	84.95166003948358
12.0	84.46504087596833
13.0	83.8534697211407
14.0	83.37349671988082
15.0	82.80263072079804
16.0	82.32261631042755
17.0	81.73684303151958
18.0	81.24956132223431
19.0	80.59962462641218
20.0	80.04203024728486
21.0	0.4320212511555752
22.0	0.0026294785247245045
23.0	0.0
24.0	0.0
25.0	0.0
26.0	0.0
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
