#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	2.3701737337346828E-5
18.0	2.3701737337346828E-5
19.0	1.1850868668673414E-5
20.0	4.7403474674693655E-5
21.0	1.4221042402408097E-4
22.0	1.0665781801806072E-4
23.0	1.777630300301012E-4
24.0	4.029295347348961E-4
25.0	4.977364840842834E-4
26.0	6.28096039439691E-4
27.0	0.0010191747055059135
28.0	0.001256192078879382
29.0	0.0015998672702709107
30.0	0.0023583228650660096
31.0	0.002441278945746723
32.0	0.0034011993079092694
33.0	0.00395819013533692
34.0	0.004669242255457325
35.0	0.005676566092294564
36.0	0.007181626413216088
37.0	0.009741414045649545
38.0	0.011649403901305965
39.0	0.013972174160365952
40.0	0.017788153871678793
41.0	0.02225593135976867
42.0	0.02704368230191273
43.0	0.031357398497309855
44.0	0.04159654902704368
45.0	0.048742622834253756
46.0	0.058804010333957484
47.0	0.06661373278661327
48.0	0.07461306913796781
49.0	0.08092958213837076
50.0	0.0817946955511839
51.0	0.08634542911995449
52.0	0.06559455808110734
53.0	0.06251333222725226
54.0	0.04881372804626579
55.0	0.03889455097058615
56.0	0.026818515797207933
57.0	0.018641416415823276
58.0	0.011815316062667395
59.0	0.006826100353155886
60.0	0.00440852314474651
61.0	0.0028086558744755993
62.0	0.0017420776942949916
63.0	0.0011258325235239742
64.0	5.569908274276505E-4
65.0	3.4367519139152903E-4
66.0	1.5406129269275438E-4
67.0	3.555260600602024E-5
68.0	1.1850868668673414E-5
69.0	2.3701737337346828E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
