strain	accession	date	host	region	country	location	strainDateCountry	db	authors	cluster	paper_url	title
GCA_006376505.1_ASM637650v1_genomic	GCA_6376505	1968-XX-XX	Microtus	Eurasia	Azerbaijan	TBD	C-232_1968_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_006376495.1_ASM637649v1_genomic	GCA_6376495	1968-XX-XX	Meriones	Eurasia	Azerbaijan	TBD	C-231_1968_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_006376475.1_ASM637647v1_genomic	GCA_6376475	1968-XX-XX	Meriones	Eurasia	Azerbaijan	TBD	C-224_1968_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_006376435.1_ASM637643v1_genomic	GCA_6376435	1959-XX-XX	Meriones	Eurasia	Azerbaijan	TBD	C-62_1959_Azerbaijan	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_006376415.1_ASM637641v1_genomic	GCA_6376415	1950-XX-XX	Lepus	Eurasia	Russia	TBD	C-11_1950_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_003086155.1_ASM308615v1_genomic	GCA_3086155	1990-06-28	Spermophilus	Eurasia	Russia	TBD	M-1448_1990_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617725.1_Yersinia_pestis_M-1484_genomic	GCA_1617725	1992-XX-XX	Spermophilus	Eurasia	Russia	TBD	M-1484_1992_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_001617705.1_Yersinia_pestis_C-791_genomic	GCA_1617705	2003-XX-XX	Spermophilus	Eurasia	Russia	TBD	C-791_2003_Russia	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000834495.1_ASM83449v1_genomic	GCA_834495	2002-XX-XX	Homo	North America	USA	TBD	El Dorado_2002_USA	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000986995.1_YPES001-SEQ-2-ASM-1_genomic	GCA_986995	1994-XX-XX	Homo	Africa	Zimbabwe	TBD	ZE94-2122_1994_Zimbabwe	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
