strain	accession	date	host	region	country	location	strainDateCountry	db	authors	cluster	paper_url	title
GCA_000269085.1_ASM26908v1_genomic	GCA_269085	2010-XX-XX	Rattus	South America	Peru	TBD	PY-91_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269065.1_ASM26906v1_genomic	GCA_269065	2010-XX-XX	Rattus	South America	Peru	TBD	PY-90_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269045.1_ASM26904v1_genomic	GCA_269045	2010-XX-XX	Rattus	South America	Peru	TBD	PY-89_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269405.1_ASM26940v1_genomic	GCA_269405	2010-XX-XX	Rattus	South America	Peru	TBD	PY-88_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269025.1_ASM26902v1_genomic	GCA_269025	2010-XX-XX	Sigmodon	South America	Peru	TBD	PY-76_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269005.1_ASM26900v1_genomic	GCA_269005	2010-XX-XX	Rattus	South America	Peru	TBD	PY-72_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268985.1_ASM26898v1_genomic	GCA_268985	2010-XX-XX	Rattus	South America	Peru	TBD	PY-71_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269385.1_ASM26938v1_genomic	GCA_269385	2010-XX-XX	Rattus	South America	Peru	TBD	PY-66_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268965.1_ASM26896v1_genomic	GCA_268965	2010-XX-XX	Rattus	South America	Peru	TBD	PY-65_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268945.1_ASM26894v1_genomic	GCA_268945	2010-XX-XX	Rattus	South America	Peru	TBD	PY-64_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268925.1_ASM26892v1_genomic	GCA_268925	2010-XX-XX	Rattus	South America	Peru	TBD	PY-63_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269365.1_ASM26936v1_genomic	GCA_269365	2010-XX-XX	Rattus	South America	Peru	TBD	PY-61_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268905.1_ASM26890v1_genomic	GCA_268905	2010-XX-XX	Rattus	South America	Peru	TBD	PY-60_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268885.1_ASM26888v1_genomic	GCA_268885	2010-XX-XX	Rattus	South America	Peru	TBD	PY-59_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268865.2_ASM26886v2_genomic	GCA_268865	2010-XX-XX	Rattus	South America	Peru	TBD	PY-58_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268865.1_ASM26886v1_genomic	GCA_268865	2010-XX-XX	Rattus	South America	Peru	TBD	PY-58_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268845.1_ASM26884v1_genomic	GCA_268845	2010-XX-XX	Canis	South America	Peru	TBD	PY-56_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268825.1_ASM26882v1_genomic	GCA_268825	2010-XX-XX	Canis	South America	Peru	TBD	PY-55_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268805.2_ASM26880v2_genomic	GCA_268805	2010-XX-XX	Canis	South America	Peru	TBD	PY-54_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268805.1_ASM26880v1_genomic	GCA_268805	2010-XX-XX	Canis	South America	Peru	TBD	PY-54_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268785.1_ASM26878v1_genomic	GCA_268785	2010-XX-XX	Canis	South America	Peru	TBD	PY-53_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269345.1_ASM26934v1_genomic	GCA_269345	2010-XX-XX	Canis	South America	Peru	TBD	PY-52_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268765.1_ASM26876v1_genomic	GCA_268765	2010-XX-XX	Mus	South America	Peru	TBD	PY-48_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269325.1_ASM26932v1_genomic	GCA_269325	2010-XX-XX	Felis	South America	Peru	TBD	PY-47_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269305.1_ASM26930v1_genomic	GCA_269305	2010-XX-XX	Felis	South America	Peru	TBD	PY-46_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268745.1_ASM26874v1_genomic	GCA_268745	2010-XX-XX	Mus	South America	Peru	TBD	PY-45_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269285.2_ASM26928v2_genomic	GCA_269285	2010-XX-XX	Mus	South America	Peru	TBD	PY-42_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269285.1_ASM26928v1_genomic	GCA_269285	2010-XX-XX	Mus	South America	Peru	TBD	PY-42_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000269265.1_ASM26926v1_genomic	GCA_269265	2010-XX-XX	Mus	South America	Peru	TBD	PY-36_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268725.2_ASM26872v2_genomic	GCA_268725	2010-XX-XX	Felis	South America	Peru	TBD	PY-34_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268725.1_ASM26872v1_genomic	GCA_268725	2010-XX-XX	Felis	South America	Peru	TBD	PY-34_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268685.1_ASM26868v1_genomic	GCA_268685	2010-XX-XX	Mus	South America	Peru	TBD	PY-29_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268665.1_ASM26866v1_genomic	GCA_268665	2010-XX-XX	Mus	South America	Peru	TBD	PY-25_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268525.1_ASM26852v1_genomic	GCA_268525	2010-XX-XX	Rodent (Unspecified)	South America	Peru	TBD	PY-19_2010_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268485.2_ASM26848v2_genomic	GCA_268485	2009-XX-XX	Rattus	South America	Peru	TBD	PY-14_2009_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268485.1_ASM26848v1_genomic	GCA_268485	2009-XX-XX	Rattus	South America	Peru	TBD	PY-14_2009_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268385.1_ASM26838v1_genomic	GCA_268385	2006-XX-XX	Rattus	South America	Peru	TBD	PY-07_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268365.1_ASM26836v1_genomic	GCA_268365	2006-XX-XX	Cavia	South America	Peru	TBD	PY-06_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268345.1_ASM26834v1_genomic	GCA_268345	2006-XX-XX	Rattus	South America	Peru	TBD	PY-05_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268585.1_ASM26858v1_genomic	GCA_268585	2006-XX-XX	Rattus	South America	Peru	TBD	PY-04_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268565.1_ASM26856v1_genomic	GCA_268565	2006-XX-XX	Rattus	South America	Peru	TBD	PY-03_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268325.1_ASM26832v1_genomic	GCA_268325	2006-XX-XX	Rattus	South America	Peru	TBD	PY-02_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
GCA_000268545.1_ASM26854v1_genomic	GCA_268545	2006-XX-XX	Mus	South America	Peru	TBD	PY-01_2006_Peru	genbank	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
Reference	NC_003143	1992-XX-XX	Homo	North America	USA	TBD	CO92_1992_USA	refseq	Author_Placeholder	Biovar_Placeholder	https://www.ncbi.nlm.nih.gov/	Title_Placeholder
