#Coverage	Number of genomic locations
0.0	394085.0
1.0	267699.0
2.0	419288.0
3.0	530417.0
4.0	573758.0
5.0	551268.0
6.0	485235.0
7.0	399132.0
8.0	320286.0
9.0	241141.0
10.0	176708.0
11.0	127727.0
12.0	91705.0
13.0	64910.0
14.0	45103.0
15.0	31921.0
16.0	22490.0
17.0	16435.0
18.0	12285.0
19.0	8880.0
20.0	6715.0
21.0	5727.0
22.0	4610.0
23.0	3688.0
24.0	3094.0
25.0	2737.0
26.0	2570.0
27.0	2286.0
28.0	2050.0
29.0	1760.0
30.0	1598.0
31.0	1403.0
32.0	1119.0
33.0	1019.0
34.0	918.0
35.0	844.0
36.0	719.0
37.0	632.0
38.0	502.0
39.0	447.0
40.0	383.0
41.0	351.0
42.0	277.0
43.0	230.0
44.0	242.0
45.0	201.0
46.0	205.0
47.0	165.0
48.0	175.0
49.0	168.0
50.0	148.0
51.0	120.0
52.0	132.0
53.0	138.0
54.0	129.0
55.0	117.0
56.0	129.0
57.0	107.0
58.0	111.0
59.0	129.0
60.0	76.0
61.0	81.0
62.0	108.0
63.0	100.0
64.0	90.0
65.0	62.0
66.0	50.0
67.0	48.0
68.0	33.0
69.0	42.0
70.0	56.0
71.0	45.0
72.0	49.0
73.0	48.0
74.0	55.0
75.0	36.0
76.0	19.0
77.0	31.0
78.0	22.0
79.0	12.0
80.0	16.0
81.0	14.0
82.0	8.0
83.0	7.0
84.0	10.0
85.0	7.0
86.0	3.0
87.0	6.0
88.0	2.0
89.0	6.0
90.0	11.0
91.0	7.0
92.0	7.0
93.0	9.0
94.0	4.0
95.0	2.0
96.0	7.0
97.0	11.0
98.0	5.0
99.0	7.0
100.0	11.0
101.0	11.0
102.0	12.0
103.0	10.0
104.0	4.0
105.0	9.0
106.0	5.0
107.0	2.0
108.0	5.0
109.0	5.0
110.0	1.0
