Sample	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number
IP283	IP283	1994	-27	India	Gujarat	22.3511148	78.6677428	22.3850008	71.7452633	Orientalis	1.ORI	1.ORI3	IP283	KEEP: Local Modern	1
IP542	IP542	1952	-69	Kenya	NA	1.4419683	38.4313975	NA	NA	Antiqua	1.ANT	1.ANT1	IP542	KEEP: Local Modern	1
IP543	IP543	1953	-68	Democratic Republic of the Congo	NA	-2.9814344	23.8222636	NA	NA	Antiqua	1.ANT	1.ANT1	IP543	KEEP: Local Modern	1
IP557	IP557	1963	-58	Iran	Kurdistan	32.6475314	54.5643516	35.672803	47.0124376	Medievalis	2.MED	2.MED1	IP557	KEEP: Local Modern	2
IP562	IP562	1947	-74	Iran	Kurdistan	32.6475314	54.5643516	35.672803	47.0124376	Medievalis	2.MED	2.MED1	IP562	KEEP: Local Modern	2
IP579	IP579	1908	-113	India	NA	22.3511148	78.6677428	NA	NA	Orientalis	1.ORI	1.ORI1	IP579	KEEP: Local Modern	1
