#Coverage (X)	Coverage
1.0	94.67969535317313
2.0	94.64352449504177
3.0	94.48770201175812
4.0	94.39701605948832
5.0	94.23479586861303
6.0	94.13487568467376
7.0	93.96725160486184
8.0	93.87056133155136
9.0	93.70105313720597
10.0	93.60117436237734
11.0	93.42423323267468
12.0	93.32052411511319
13.0	93.13211266176728
14.0	93.00952098976056
15.0	92.79255795463838
16.0	92.66050430085375
17.0	92.3980533577095
18.0	92.21384492909208
19.0	91.65854875560446
20.0	91.1615152007669
21.0	0.11172178046753345
22.0	0.04971163730589012
23.0	0.04178179262110859
24.0	0.03260967461756081
25.0	0.02917271843564606
26.0	0.022008942297432554
27.0	0.016418712362991528
28.0	0.009544799999162024
29.0	0.006211366593817047
30.0	0.005176138828176136
31.0	0.003271319739397427
32.0	0.002339614750326291
33.0	0.0012836824293742666
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
