#Coverage	Number of genomic locations
0.0	267864.0
1.0	1474.0
2.0	8140.0
3.0	1827.0
4.0	8375.0
5.0	1979.0
6.0	9086.0
7.0	2060.0
8.0	9229.0
9.0	1967.0
10.0	9252.0
11.0	2134.0
12.0	9663.0
13.0	2032.0
14.0	10184.0
15.0	2625.0
16.0	10814.0
17.0	2889.0
18.0	13920.0
19.0	4128.0
20.0	4406939.0
21.0	317.0
22.0	664.0
23.0	230.0
24.0	517.0
25.0	171.0
26.0	324.0
27.0	241.0
28.0	331.0
29.0	267.0
30.0	350.0
31.0	334.0
32.0	557.0
33.0	546.0
34.0	525.0
35.0	361.0
36.0	684.0
37.0	363.0
38.0	443.0
39.0	847.0
40.0	34972.0
41.0	122.0
42.0	7.0
43.0	2.0
44.0	6.0
45.0	9.0
46.0	18.0
47.0	9.0
48.0	6.0
49.0	2.0
50.0	49.0
