#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	1.096575395041286E-5
17.0	1.096575395041286E-5
18.0	4.386301580165144E-5
19.0	4.386301580165144E-5
20.0	1.5352055530578004E-4
21.0	2.193150790082572E-4
22.0	1.8641781715701862E-4
23.0	4.057328961652759E-4
24.0	4.495959119669273E-4
25.0	9.978836094875704E-4
26.0	0.001261061704297479
27.0	0.001897075433421425
28.0	0.0024343973769916554
29.0	0.002993650828462711
30.0	0.0038928426523965652
31.0	0.00456175364337175
32.0	0.005186801618545283
33.0	0.006864561972958451
34.0	0.0075663702257848745
35.0	0.0083559045102146
36.0	0.010022699110677354
37.0	0.012402267717916944
38.0	0.013882644501222681
39.0	0.016075795291305255
40.0	0.019310692706677048
41.0	0.02275393944710669
42.0	0.027381487614180917
43.0	0.031186604234974175
44.0	0.03972892656234579
45.0	0.04857829000032897
46.0	0.05706578355794852
47.0	0.06387551676115491
48.0	0.07168313357384887
49.0	0.07644227078832806
50.0	0.07874507911791476
51.0	0.08102595593960063
52.0	0.06236224271599794
53.0	0.058765475420262524
54.0	0.047306262542081076
55.0	0.03729452918535414
56.0	0.025901110830875176
57.0	0.017643898106214292
58.0	0.012358404702115295
59.0	0.007467678440231158
60.0	0.004463061857818034
61.0	0.0033884179706775734
62.0	0.002116390512429682
63.0	0.0015571370609586263
64.0	7.456712686280745E-4
65.0	4.8249317381816593E-4
66.0	2.7414384876032154E-4
67.0	1.096575395041286E-4
68.0	4.386301580165144E-5
69.0	2.193150790082572E-5
70.0	0.0
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
