#Coverage (X)	Coverage
1.0	93.5375492639013
2.0	93.46479345653233
3.0	93.30292524309736
4.0	93.21673217933044
5.0	93.05341464702356
6.0	92.96479915028505
7.0	92.79115004487713
8.0	92.69249283881193
9.0	92.52118334815434
10.0	92.42828200846608
11.0	92.24506739850368
12.0	92.14972292128853
13.0	91.95360937336628
14.0	91.84851305059883
15.0	91.63987324671237
16.0	91.5064530922771
17.0	91.23348423503397
18.0	91.02581754524722
19.0	90.42590305506066
20.0	89.93934600521133
21.0	0.07726940042712727
22.0	0.06716557743450835
23.0	0.06060223340037396
24.0	0.05410100303217291
25.0	0.04656454489833095
26.0	0.04513593058175047
27.0	0.04060163296826147
28.0	0.03958710975793167
29.0	0.036729881124770714
30.0	0.03567394880381869
31.0	0.03302376572378307
32.0	0.032216288066592824
33.0	0.02952469587593498
34.0	0.027847626895606936
35.0	0.026543239910907346
36.0	0.02602562602808689
37.0	0.024762648154009526
38.0	0.023934465941493954
39.0	0.02240232884835791
40.0	0.021884714965537455
41.0	0.013457960953246584
42.0	0.013333733621365695
43.0	0.013002460736359467
44.0	0.012795415183234127
45.0	0.01240202863229456
46.0	0.012008642081354992
47.0	0.01198793752604388
48.0	0.011884414749474104
49.0	0.011491028198534536
50.0	0.011346096311342535
51.0	0.010952709760402968
