#Mapping quality	mapping quality
30.0	326.0
31.0	109.0
32.0	120.0
33.0	409.0
34.0	273.0
35.0	701.0
36.0	341.0
37.0	223.0
38.0	134.0
39.0	218.0
40.0	277.0
41.0	416.0
42.0	442.0
43.0	281.0
44.0	555.0
45.0	523.0
46.0	809.0
47.0	924.0
48.0	743.0
49.0	1114.0
50.0	1030.0
51.0	778.0
52.0	1207.0
53.0	1247.0
54.0	1478.0
55.0	1829.0
56.0	2071.0
57.0	3336.0
58.0	3852.0
59.0	3452.0
60.0	4511141.0
