#Coverage	Number of genomic locations
0.0	302107.0
1.0	2169.0
2.0	9654.0
3.0	2771.0
4.0	9550.0
5.0	3009.0
6.0	10336.0
7.0	3170.0
8.0	10191.0
9.0	3155.0
10.0	10458.0
11.0	3073.0
12.0	11595.0
13.0	3403.0
14.0	12705.0
15.0	3917.0
16.0	17019.0
17.0	6205.0
18.0	38871.0
19.0	16245.0
20.0	4346138.0
21.0	542.0
22.0	357.0
23.0	241.0
24.0	484.0
25.0	250.0
26.0	169.0
27.0	158.0
28.0	210.0
29.0	55.0
30.0	113.0
31.0	32.0
32.0	44.0
33.0	83.0
34.0	86.0
35.0	34.0
36.0	51.0
37.0	15.0
38.0	100.0
39.0	34.0
40.0	403.0
41.0	4.0
42.0	19.0
43.0	4.0
44.0	17.0
45.0	12.0
46.0	15.0
47.0	6.0
48.0	18.0
49.0	6.0
50.0	3.0
51.0	20.0
52.0	23.0
53.0	1.0
54.0	3.0
55.0	3.0
56.0	3.0
57.0	15.0
58.0	6.0
59.0	13.0
60.0	6.0
61.0	3.0
62.0	7.0
63.0	73.0
64.0	9.0
65.0	18.0
66.0	10.0
67.0	24.0
68.0	6.0
69.0	18.0
70.0	16.0
71.0	2.0
72.0	8.0
73.0	4.0
74.0	1.0
75.0	4.0
76.0	5.0
77.0	3.0
78.0	6.0
79.0	3.0
80.0	19.0
81.0	11.0
82.0	7.0
83.0	8.0
84.0	15.0
85.0	5.0
86.0	4.0
87.0	17.0
88.0	6.0
89.0	14.0
90.0	9.0
91.0	14.0
92.0	19.0
93.0	24.0
94.0	17.0
95.0	17.0
96.0	22.0
97.0	8.0
