#Coverage	Number of genomic locations
0.0	605015.0
1.0	17454.0
2.0	9851.0
3.0	9857.0
4.0	11748.0
5.0	14187.0
6.0	15631.0
7.0	17951.0
8.0	19259.0
9.0	21431.0
10.0	22722.0
11.0	24560.0
12.0	26223.0
13.0	27948.0
14.0	30069.0
15.0	33692.0
16.0	38186.0
17.0	42237.0
18.0	48186.0
19.0	54216.0
20.0	61676.0
21.0	69928.0
22.0	80359.0
23.0	91786.0
24.0	104582.0
25.0	118119.0
26.0	131994.0
27.0	145117.0
28.0	158273.0
29.0	171725.0
30.0	180831.0
31.0	186450.0
32.0	188315.0
33.0	192864.0
34.0	190881.0
35.0	184555.0
36.0	175338.0
37.0	163779.0
38.0	150200.0
39.0	135351.0
40.0	119894.0
41.0	104662.0
42.0	90418.0
43.0	77281.0
44.0	65832.0
45.0	55367.0
46.0	47250.0
47.0	39766.0
48.0	33249.0
49.0	27972.0
50.0	23791.0
51.0	20556.0
52.0	17899.0
53.0	15277.0
54.0	13039.0
55.0	11523.0
56.0	10290.0
57.0	9086.0
58.0	8236.0
59.0	7257.0
60.0	6518.0
61.0	5720.0
62.0	4848.0
63.0	4390.0
64.0	4006.0
65.0	3485.0
66.0	2977.0
67.0	2740.0
68.0	2414.0
69.0	2157.0
70.0	1769.0
71.0	1446.0
72.0	1184.0
73.0	1072.0
74.0	948.0
75.0	873.0
76.0	807.0
77.0	715.0
78.0	561.0
79.0	500.0
80.0	419.0
81.0	335.0
82.0	272.0
83.0	236.0
84.0	178.0
85.0	132.0
86.0	87.0
87.0	71.0
88.0	41.0
89.0	35.0
90.0	29.0
91.0	32.0
92.0	29.0
93.0	47.0
94.0	22.0
95.0	21.0
96.0	17.0
97.0	13.0
98.0	11.0
99.0	18.0
100.0	13.0
101.0	12.0
102.0	20.0
103.0	17.0
104.0	26.0
105.0	19.0
106.0	28.0
107.0	16.0
108.0	28.0
109.0	17.0
110.0	15.0
111.0	27.0
112.0	15.0
113.0	17.0
114.0	19.0
115.0	22.0
116.0	16.0
117.0	26.0
118.0	20.0
119.0	31.0
120.0	29.0
121.0	43.0
122.0	48.0
123.0	59.0
124.0	75.0
125.0	68.0
126.0	69.0
127.0	71.0
128.0	84.0
129.0	75.0
130.0	107.0
131.0	101.0
132.0	81.0
133.0	94.0
134.0	110.0
135.0	96.0
136.0	100.0
137.0	117.0
138.0	131.0
139.0	133.0
140.0	125.0
141.0	160.0
142.0	163.0
143.0	153.0
144.0	157.0
145.0	182.0
146.0	156.0
147.0	175.0
148.0	185.0
149.0	221.0
150.0	177.0
151.0	196.0
152.0	214.0
153.0	222.0
154.0	228.0
155.0	203.0
156.0	224.0
157.0	219.0
158.0	212.0
159.0	214.0
160.0	193.0
161.0	158.0
162.0	143.0
163.0	171.0
164.0	115.0
165.0	133.0
166.0	130.0
167.0	100.0
168.0	93.0
169.0	89.0
170.0	72.0
171.0	48.0
172.0	38.0
173.0	25.0
174.0	18.0
175.0	11.0
176.0	6.0
177.0	7.0
178.0	7.0
179.0	10.0
180.0	16.0
181.0	1.0
182.0	3.0
183.0	9.0
184.0	4.0
185.0	1.0
186.0	5.0
187.0	2.0
