#Coverage (X)	Coverage
1.0	90.94558739341036
2.0	85.39337102252551
3.0	77.32279747528652
4.0	67.8283716591906
5.0	58.04524152381386
6.0	48.70264221182623
7.0	40.20439537004734
8.0	32.87084187827584
9.0	26.6568665104853
10.0	21.504123829804414
11.0	17.318573746002727
12.0	13.931598360613307
13.0	11.237376691432758
14.0	9.073233047368916
15.0	7.3326010822271
16.0	5.936969122261431
17.0	4.828012435155912
18.0	3.936122305949141
19.0	3.22684635460071
20.0	2.6456280778615593
21.0	2.1777258323490116
22.0	1.796410037154331
23.0	1.4902103686342656
24.0	1.2419213413239163
25.0	1.0414598367859895
26.0	0.8842294437410629
27.0	0.7496912433188925
28.0	0.6330003695763082
29.0	0.5447575548334243
30.0	0.47227090668353355
31.0	0.4100537179687649
32.0	0.3555593283856382
33.0	0.3073384190622761
34.0	0.2636725119077141
35.0	0.2265285396766643
36.0	0.1952646611544253
37.0	0.16826592102661664
38.0	0.14462131885946405
39.0	0.12424803643173732
40.0	0.10710466463278578
41.0	0.09343965812638544
42.0	0.08056142472186423
43.0	0.06946378307424084
44.0	0.06012602862818994
45.0	0.05169927461589907
46.0	0.04465972580956645
47.0	0.039131609541058765
48.0	0.03428674359787465
49.0	0.030663446418145668
50.0	0.027226490236230916
51.0	0.02403798871806373
