#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	2.1576369560057823E-5
18.0	2.1576369560057823E-5
19.0	1.1867003258031803E-4
20.0	1.1867003258031803E-4
21.0	2.697046195007228E-4
22.0	2.3734006516063606E-4
23.0	3.236455434008674E-4
24.0	5.394092390014456E-4
25.0	9.277838910824866E-4
26.0	0.001100394847562949
27.0	0.002071331477765551
28.0	0.002427341575506505
29.0	0.002837292597147604
30.0	0.004121086585971045
31.0	0.0043368502815716225
32.0	0.005394092390014457
33.0	0.006526851791917492
34.0	0.007551729346020239
35.0	0.00852266597622284
36.0	0.01011931732366712
37.0	0.011780697779791571
38.0	0.014218827540078107
39.0	0.016052818952683023
40.0	0.018178091354348717
41.0	0.023021986320581698
42.0	0.027455930265173577
43.0	0.030918937579562863
44.0	0.039646579066606256
45.0	0.04728461389086671
46.0	0.057328413921073636
47.0	0.06383368934343107
48.0	0.07195719248279284
49.0	0.076121431807884
50.0	0.07862429067685071
51.0	0.08178522881739919
52.0	0.06176235786566552
53.0	0.05793255226875526
54.0	0.04787796405376832
55.0	0.0359354435022763
56.0	0.026150559906790084
57.0	0.018080997691328458
58.0	0.012125919692752497
59.0	0.007972468552441367
60.0	0.005534338792154832
61.0	0.0038190174121302354
62.0	0.00267546982544717
63.0	0.0020173905538654066
64.0	0.0010356657388827756
65.0	6.688674563617926E-4
66.0	3.6679828252098306E-4
67.0	1.2945821736034694E-4
68.0	8.63054782402313E-5
69.0	2.1576369560057823E-5
70.0	1.0788184780028912E-5
71.0	0.0
72.0	0.0
73.0	0.0
74.0	0.0
75.0	0.0
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
