#Coverage	Number of genomic locations
0.0	587118.0
1.0	7016.0
2.0	14256.0
3.0	8508.0
4.0	13300.0
5.0	9011.0
6.0	13854.0
7.0	8608.0
8.0	13508.0
9.0	9715.0
10.0	15027.0
11.0	10789.0
12.0	16633.0
13.0	12827.0
14.0	20289.0
15.0	17361.0
16.0	30992.0
17.0	32461.0
18.0	87577.0
19.0	85664.0
20.0	3782518.0
21.0	1557.0
22.0	1668.0
23.0	1016.0
24.0	1347.0
25.0	862.0
26.0	1187.0
27.0	685.0
28.0	1140.0
29.0	781.0
30.0	1120.0
31.0	825.0
32.0	901.0
33.0	1187.0
34.0	1469.0
35.0	1110.0
36.0	1706.0
37.0	1637.0
38.0	1778.0
39.0	815.0
40.0	7607.0
41.0	72.0
42.0	78.0
43.0	101.0
44.0	83.0
45.0	64.0
46.0	49.0
47.0	51.0
48.0	35.0
49.0	57.0
50.0	85.0
51.0	33.0
52.0	35.0
53.0	61.0
54.0	60.0
55.0	41.0
56.0	61.0
57.0	43.0
58.0	82.0
59.0	47.0
60.0	263.0
61.0	72.0
62.0	31.0
63.0	31.0
64.0	38.0
65.0	31.0
66.0	27.0
67.0	33.0
68.0	32.0
69.0	58.0
70.0	25.0
71.0	25.0
72.0	25.0
73.0	25.0
74.0	27.0
75.0	29.0
76.0	19.0
77.0	25.0
78.0	28.0
79.0	28.0
80.0	415.0
