#Coverage (X)	Coverage
1.0	87.8439828938964
2.0	87.69871973382223
3.0	87.40355559328385
4.0	87.2274012366831
5.0	86.95203065102369
6.0	86.76546190310061
7.0	86.47862099379795
8.0	86.30039618166592
9.0	86.02071904850146
10.0	85.81957429363821
11.0	85.50844694095372
12.0	85.2850654936846
13.0	84.94068662516784
14.0	84.67510929417136
15.0	84.25503457143124
16.0	83.8955827866468
17.0	83.25390720839445
18.0	82.58181663838769
19.0	80.76857379776412
20.0	78.9949387714538
21.0	0.6795856190299787
22.0	0.6473486264080464
23.0	0.6128134281463957
24.0	0.5917775999486565
25.0	0.563888563942399
26.0	0.5460412372628127
27.0	0.521464930106589
28.0	0.5072823097173682
29.0	0.48367911666085206
30.0	0.4675088589616081
31.0	0.44431975701134263
32.0	0.42723849887833865
33.0	0.4085836945415622
34.0	0.38400738738533846
35.0	0.35359239563092615
36.0	0.330610339233786
37.0	0.29528836787025625
38.0	0.26139501082330696
39.0	0.22458231147726337
40.0	0.20770809889738473
41.0	0.050208546633399465
42.0	0.04871781865088565
43.0	0.04710286333649094
44.0	0.045011703249898005
45.0	0.043293225158947735
46.0	0.04196813361893703
47.0	0.04095361040860723
48.0	0.03989767808765521
49.0	0.03917301865170941
50.0	0.0379928589988765
51.0	0.03623297179728979
