#Coverage	Number of genomic locations
0.0	334635.0
1.0	43301.0
2.0	43507.0
3.0	48379.0
4.0	53200.0
5.0	62857.0
6.0	71597.0
7.0	80618.0
8.0	93132.0
9.0	106496.0
10.0	120813.0
11.0	134125.0
12.0	148826.0
13.0	161018.0
14.0	171291.0
15.0	181095.0
16.0	189605.0
17.0	192605.0
18.0	196119.0
19.0	196002.0
20.0	194423.0
21.0	189403.0
22.0	182315.0
23.0	173645.0
24.0	161951.0
25.0	149792.0
26.0	137822.0
27.0	126234.0
28.0	115011.0
29.0	102169.0
30.0	89354.0
31.0	79039.0
32.0	68559.0
33.0	59456.0
34.0	51681.0
35.0	44558.0
36.0	37544.0
37.0	31954.0
38.0	27214.0
39.0	22979.0
40.0	19192.0
41.0	16700.0
42.0	14113.0
43.0	12075.0
44.0	10574.0
45.0	9166.0
46.0	7955.0
47.0	6874.0
48.0	5920.0
49.0	5323.0
50.0	4691.0
51.0	4297.0
52.0	3833.0
53.0	3417.0
54.0	3043.0
55.0	2634.0
56.0	2449.0
57.0	2156.0
58.0	2041.0
59.0	1758.0
60.0	1651.0
61.0	1440.0
62.0	1326.0
63.0	1202.0
64.0	1130.0
65.0	1017.0
66.0	893.0
67.0	778.0
68.0	785.0
69.0	667.0
70.0	571.0
71.0	503.0
72.0	453.0
73.0	377.0
74.0	342.0
75.0	314.0
76.0	264.0
77.0	227.0
78.0	182.0
79.0	203.0
80.0	189.0
81.0	163.0
82.0	148.0
83.0	182.0
84.0	148.0
85.0	138.0
86.0	121.0
87.0	107.0
88.0	88.0
89.0	75.0
90.0	54.0
91.0	47.0
92.0	59.0
93.0	57.0
94.0	64.0
95.0	67.0
96.0	71.0
97.0	59.0
98.0	61.0
99.0	57.0
100.0	59.0
101.0	58.0
102.0	64.0
103.0	48.0
104.0	49.0
105.0	34.0
106.0	46.0
107.0	56.0
108.0	44.0
109.0	57.0
110.0	51.0
111.0	48.0
112.0	42.0
113.0	52.0
114.0	47.0
115.0	42.0
116.0	31.0
117.0	35.0
118.0	44.0
119.0	36.0
120.0	26.0
121.0	13.0
122.0	11.0
123.0	6.0
124.0	19.0
125.0	15.0
126.0	6.0
127.0	1.0
