town	Gu'ertu	44.5527459	83.9127044
city	Пролетарское сельское поселение	43.3976147	45.6985005
county	Chedi-Kholsky Kozhuun	51.4017149	93.8582593
state	Naryn Region	41.5089324	74.724091
county	Evenkiysky Rayon	64.6863136	97.7453061
state	Ujar District	40.3936294	47.7872508
county	Coconino County	36.1081973	-111.2159533
county	Tulare County	36.7014631	-118.7559974
town	Heishan	46.4097992	127.6152447
state	Lori Province	40.7696272	44.6736646
city	сельсовет Хасанайский	43.5837339	46.72918924381425
city	Manhattan Community Board 1	40.7127281	-74.0060152
county	Kadoma	-18.4554963	29.7468414
city	La Paz	-16.4955455	-68.1336229
state	Central Java	-7.3281445000000005	109.61405486235714
city	Numata	36.5748441	139.2394179
city	Dushanbe	38.5671241	68.7947829
state	Sankuru	-2.9814344	23.8222636
city	Alashankou	45.169797	82.5653703
county	Burd	46.8250388	103.8499736
county	Zolsky District	43.6526586	42.764341823664836
county	Altaysky Rayon	53.43866	91.808655
county	Kosh-Agachsky Rayon	49.9879	88.533943
county	Tamdy	41.32373	63.9528098
city	Gallup	35.5021729	-108.7332668
city	Nairobi	-1.2832533	36.8172449
city	Mumbai	18.9387711	72.8353355
county	Yavapai County	34.395342	-111.7632755
county	Coleman County	31.8160381	-99.5120986
city	Turkmenbashy	40.0006322	52.99158755943549
city	Чкаловское сельское поселение	47.16639585	45.06284188491769
city	сельское поселение Сагопши	43.4695247	44.679397024109974
city	сельское поселение Село Хосрех	41.984908649999994	47.25419317136726
city	Лаганское городское поселение	45.1680985	47.16419643546377
county	Owando	-0.7264327	15.6419155
state	East Kalimantan	-2.4833826	117.8902853
county	Park County	38.7251776	-105.6077167
county	Marion County	37.5726028	-85.1551411
county	Ninotsminda Municipality	41.32395015	43.729228678739815
county	Chegem District	43.4428286	43.4204809
county	بخش خرانق	32.6475314	54.5643516
state	Shirak Province	40.81400525	43.879872917779934
town	Bangluo	35.000074	104.999927
town	Casa Grande	-7.724625	-79.1836658
region	Province of Ascope	-7.8952272	-79.2218943
town	Chicama	-7.8475	-79.1454
region	Province of Santa Cruz	-6.6942323	-78.9752808
city	Vargas Guerra	-6.8699697	-75.0458515
town	Chota	-6.5614846	-78.6509551
city	Vargas Guerra	-6.8699697	-75.0458515
city	Flagstaff	35.1765427	-111.6614313
town	Chicama	-7.7344909	-79.007039
city	Guadalupe	-7.2978911	-79.4082796
town	Huanchaco	-8.0338311	-79.0631648
city	Casa Grande	-7.6561698	-79.2416188
region	Province of Ascope	-7.7138056	-79.1074555
