#Coverage	Number of genomic locations
0.0	335179.0
1.0	26644.0
2.0	27635.0
3.0	32029.0
4.0	35349.0
5.0	37068.0
6.0	38129.0
7.0	39077.0
8.0	40584.0
9.0	42366.0
10.0	44304.0
11.0	46719.0
12.0	51205.0
13.0	56031.0
14.0	61229.0
15.0	68314.0
16.0	77581.0
17.0	88217.0
18.0	98969.0
19.0	114151.0
20.0	127612.0
21.0	143344.0
22.0	158219.0
23.0	173031.0
24.0	186124.0
25.0	197556.0
26.0	205865.0
27.0	212763.0
28.0	216746.0
29.0	215086.0
30.0	209773.0
31.0	199930.0
32.0	184720.0
33.0	169255.0
34.0	150996.0
35.0	131504.0
36.0	113928.0
37.0	95934.0
38.0	80583.0
39.0	65079.0
40.0	52228.0
41.0	41138.0
42.0	32336.0
43.0	24580.0
44.0	18998.0
45.0	14111.0
46.0	10705.0
47.0	7811.0
48.0	5648.0
49.0	4191.0
50.0	3196.0
51.0	2395.0
52.0	1686.0
53.0	1212.0
54.0	936.0
55.0	609.0
56.0	459.0
57.0	372.0
58.0	282.0
59.0	209.0
60.0	178.0
61.0	131.0
62.0	74.0
63.0	69.0
64.0	61.0
65.0	41.0
66.0	51.0
67.0	55.0
68.0	97.0
69.0	55.0
70.0	32.0
71.0	39.0
72.0	19.0
73.0	21.0
74.0	31.0
75.0	46.0
76.0	31.0
77.0	27.0
78.0	29.0
79.0	41.0
80.0	41.0
81.0	45.0
82.0	56.0
83.0	46.0
84.0	48.0
85.0	51.0
86.0	42.0
87.0	56.0
88.0	58.0
89.0	60.0
90.0	59.0
91.0	76.0
92.0	95.0
93.0	104.0
94.0	85.0
95.0	88.0
96.0	85.0
97.0	89.0
98.0	74.0
99.0	67.0
100.0	69.0
101.0	64.0
102.0	46.0
103.0	44.0
104.0	62.0
105.0	46.0
106.0	69.0
107.0	66.0
108.0	83.0
109.0	101.0
110.0	90.0
111.0	96.0
112.0	88.0
113.0	78.0
114.0	80.0
115.0	87.0
116.0	91.0
117.0	87.0
118.0	110.0
119.0	143.0
120.0	147.0
121.0	156.0
122.0	155.0
123.0	155.0
124.0	184.0
125.0	170.0
126.0	199.0
127.0	229.0
128.0	190.0
129.0	204.0
130.0	185.0
131.0	184.0
132.0	158.0
133.0	129.0
134.0	117.0
135.0	122.0
136.0	108.0
137.0	141.0
138.0	109.0
139.0	94.0
140.0	104.0
141.0	108.0
142.0	95.0
143.0	73.0
144.0	86.0
145.0	83.0
146.0	74.0
147.0	39.0
148.0	28.0
149.0	9.0
150.0	9.0
151.0	5.0
152.0	10.0
153.0	3.0
154.0	8.0
155.0	2.0
