#Coverage	Number of genomic locations
0.0	427698.0
1.0	202171.0
2.0	247081.0
3.0	294063.0
4.0	339580.0
5.0	368481.0
6.0	372594.0
7.0	368013.0
8.0	347396.0
9.0	318286.0
10.0	283138.0
11.0	244648.0
12.0	205126.0
13.0	169605.0
14.0	137434.0
15.0	111338.0
16.0	87810.0
17.0	68789.0
18.0	53007.0
19.0	40705.0
20.0	31436.0
21.0	23700.0
22.0	17717.0
23.0	13680.0
24.0	10747.0
25.0	8145.0
26.0	6296.0
27.0	5008.0
28.0	3831.0
29.0	2966.0
30.0	2449.0
31.0	1949.0
32.0	1666.0
33.0	1589.0
34.0	1283.0
35.0	1234.0
36.0	899.0
37.0	832.0
38.0	737.0
39.0	655.0
40.0	566.0
41.0	516.0
42.0	469.0
43.0	410.0
44.0	329.0
45.0	309.0
46.0	298.0
47.0	284.0
48.0	256.0
49.0	187.0
50.0	192.0
51.0	153.0
52.0	147.0
53.0	160.0
54.0	158.0
55.0	132.0
56.0	106.0
57.0	78.0
58.0	63.0
59.0	75.0
60.0	61.0
61.0	64.0
62.0	59.0
63.0	66.0
64.0	62.0
65.0	72.0
66.0	70.0
67.0	58.0
68.0	65.0
69.0	52.0
70.0	55.0
71.0	50.0
72.0	54.0
73.0	39.0
74.0	31.0
75.0	25.0
76.0	35.0
77.0	33.0
78.0	29.0
79.0	28.0
80.0	26.0
81.0	22.0
82.0	20.0
83.0	17.0
84.0	15.0
85.0	14.0
86.0	7.0
87.0	5.0
88.0	6.0
89.0	8.0
90.0	1.0
91.0	8.0
92.0	6.0
93.0	6.0
94.0	1.0
95.0	1.0
96.0	4.0
97.0	3.0
98.0	1.0
99.0	3.0
100.0	2.0
101.0	1.0
