#Coverage	Number of genomic locations
0.0	447497.0
1.0	4523.0
2.0	4808.0
3.0	4665.0
4.0	4799.0
5.0	5146.0
6.0	5320.0
7.0	5575.0
8.0	5330.0
9.0	5076.0
10.0	5475.0
11.0	5324.0
12.0	5627.0
13.0	5617.0
14.0	5588.0
15.0	6012.0
16.0	6285.0
17.0	6123.0
18.0	8808.0
19.0	11743.0
20.0	4258890.0
21.0	749.0
22.0	153.0
23.0	194.0
24.0	124.0
25.0	254.0
26.0	195.0
27.0	88.0
28.0	125.0
29.0	176.0
30.0	101.0
31.0	74.0
32.0	103.0
33.0	138.0
34.0	69.0
35.0	52.0
36.0	49.0
37.0	277.0
38.0	60.0
39.0	51.0
40.0	8592.0
