#Coverage	Number of genomic locations
0.0	521527.0
1.0	6568.0
2.0	28435.0
3.0	12367.0
4.0	35096.0
5.0	11685.0
6.0	31910.0
7.0	11684.0
8.0	31616.0
9.0	11331.0
10.0	29739.0
11.0	11539.0
12.0	30308.0
13.0	12296.0
14.0	32033.0
15.0	13552.0
16.0	39175.0
17.0	20494.0
18.0	50072.0
19.0	20797.0
20.0	3866764.0
21.0	569.0
22.0	56.0
23.0	2.0
24.0	40.0
25.0	2.0
26.0	31.0
27.0	2.0
28.0	40.0
29.0	2.0
30.0	39.0
31.0	2.0
32.0	31.0
33.0	2.0
34.0	23.0
35.0	2.0
36.0	24.0
