#Coverage	Number of genomic locations
0.0	255873.0
1.0	1861.0
2.0	7770.0
3.0	4745.0
4.0	7915.0
5.0	4885.0
6.0	7967.0
7.0	4984.0
8.0	8653.0
9.0	5166.0
10.0	8908.0
11.0	4966.0
12.0	10021.0
13.0	5570.0
14.0	10559.0
15.0	6321.0
16.0	12948.0
17.0	8757.0
18.0	29265.0
19.0	22134.0
20.0	4394886.0
21.0	2887.0
22.0	393.0
23.0	180.0
24.0	609.0
25.0	274.0
26.0	311.0
27.0	65.0
28.0	211.0
29.0	53.0
30.0	110.0
31.0	56.0
32.0	65.0
33.0	68.0
34.0	19.0
35.0	10.0
36.0	30.0
37.0	10.0
38.0	19.0
39.0	12.0
40.0	19.0
41.0	5.0
42.0	20.0
43.0	10.0
44.0	10.0
45.0	5.0
46.0	9.0
47.0	18.0
48.0	12.0
49.0	20.0
50.0	16.0
51.0	10.0
52.0	10.0
53.0	5.0
54.0	9.0
55.0	9.0
56.0	11.0
57.0	23.0
58.0	17.0
59.0	16.0
60.0	31.0
61.0	30.0
62.0	4.0
