#Coverage	Number of genomic locations
0.0	166221.0
1.0	4647.0
2.0	5423.0
3.0	4751.0
4.0	5219.0
5.0	5440.0
6.0	5464.0
7.0	5533.0
8.0	6091.0
9.0	5022.0
10.0	5941.0
11.0	5626.0
12.0	6039.0
13.0	5690.0
14.0	6106.0
15.0	5892.0
16.0	7642.0
17.0	7301.0
18.0	9450.0
19.0	13049.0
20.0	4515372.0
21.0	636.0
22.0	211.0
23.0	213.0
24.0	325.0
25.0	123.0
26.0	215.0
27.0	167.0
28.0	138.0
29.0	160.0
30.0	244.0
31.0	165.0
32.0	159.0
33.0	78.0
34.0	83.0
35.0	84.0
36.0	84.0
37.0	289.0
38.0	674.0
39.0	1074.0
40.0	21814.0
41.0	11.0
42.0	22.0
43.0	17.0
44.0	22.0
45.0	14.0
46.0	14.0
47.0	19.0
48.0	20.0
49.0	30.0
50.0	14.0
51.0	14.0
52.0	29.0
53.0	41.0
54.0	146.0
55.0	36.0
56.0	39.0
57.0	36.0
58.0	39.0
59.0	36.0
60.0	401.0
