BioSampleAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLon	BioSampleLon	BioSampleComment
SAMN02403043	CMCC38001	Antiqua	1979	Xinjiang, China	Marmota baibacina	39.73	76.12 39.73	76.12	 KEEP: Assembly Cui 2013
SAMN02403044	CMCC42007	Antiqua	1967	Xinjiang, China	Marmota baibacina	44.45	84.62 44.45	84.62	 KEEP: Assembly Cui 2013
SAMN02403045	CMCC43032	Antiqua	1980	Xinjiang, China	Oropsylla silantiewi	44.18	86.92 44.18	86.92	 KEEP: Assembly Cui 2013
SAMN02403046	CMCC49003	Antiqua	1976	Xinjiang, China	Citellus undulatus	43.82	82.53 43.82	82.53	 KEEP: Assembly Cui 2013
SAMN02403047	CMCC51020	Antiqua	1954	Jilin, China	Rattus norvegicus	44.3	123.97 44.3	123.97	 KEEP: Assembly Cui 2013
SAMN02403048	CMCC64001	Antiqua	1957	Inner Mongolia, China	Rhipicephalus sanguineus	45.05	121.47 45.05	121.47	 KEEP: Assembly Cui 2013
SAMN02403049	CMCC640047	Antiqua	1964	Qinghai, China	Homo sapiens	36.27	100.61 36.27	100.61	 KEEP: Assembly Cui 2013
SAMN02403050	CMCC67001	Antiqua	1959	Inner Mongolia, China	Homo sapiens	42.97	122.35 42.97	122.35	 KEEP: Assembly Cui 2013
SAMN02403051	CMCC71001	Antiqua	1961	Gansu, China	Marmota himalayana	38.46	94.25 38.46	94.25	 KEEP: Assembly Cui 2013
SAMN02403052	CMCC8211	Antiqua	1982	Xinjiang, China	Citellophilus tesquorum	44.67	82.92 44.67	82.92	 KEEP: Assembly Cui 2013
SAMN02403053	CMCC84033	Antiqua	1979	Yunnan, China	Eothenomys miletus	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403054	CMCC84038	Antiqua	1982	Yunnan, China	Apodemus chevrieri	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403055	CMCC84046	Antiqua	1984	Yunnan, China	Eothenomys miletus	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403056	CMCC87001	Orientalis	1982	Yunnan, China	Rattus flavipectus	24	97.83 24	97.83	 KEEP: Assembly Cui 2013
SAMN02403057	CMCC90027	Medievalis	1970	Inner Mongolia, China	Meriones unguiculatus	43.85	113.7 43.85	113.7	 KEEP: Assembly Cui 2013
SAMN02403058	CMCC91090	Microtus	1970	Inner Mongolia, China	Microtus brandti	44.03	114.97 44.03	114.97	 KEEP: Assembly Cui 2013
SAMN02403059	CMCC92004	Medievalis	1957	Inner Mongolia, China	Ophthalmopsylla kiritschenkoi	42.47	112.95 42.47	112.95	 KEEP: Assembly Cui 2013
SAMN02403060	CMCC92010	Antiqua	1971	Inner Mongolia, China	Spermophilus dauricus	42.47	112.95 42.47	112.95	 KEEP: Assembly Cui 2013
SAMN02403061	CMCC93014	Microtus	1970	Inner Mongolia, China	Microtus brandti	43.95	116.08 43.95	116.08	 KEEP: Assembly Cui 2013
SAMN02403062	CMCC95001	Antiqua	1970	Inner Mongolia, China	Spermophilus dauricus	42.32	115 42.32	115	 KEEP: Assembly Cui 2013
SAMN02403063	CMCC96001	Antiqua	1957	Inner Mongolia, China	Vulpes vulpes	42.25	116.02 42.25	116.02	 KEEP: Assembly Cui 2013
SAMN02403064	CMCC96007	Antiqua	1989	Inner Mongolia, China	Meles meles	42.25	116.02 42.25	116.02	 KEEP: Assembly Cui 2013
SAMN02403065	CMCC99103	Medievalis	1970	Inner Mongolia, China	Meriones unguiculatus	39.12	107.97 39.12	107.97	 KEEP: Assembly Cui 2013
SAMN02403066	CMCCK100001	Orientalis	1991	Yunnan, China	Rattus flavipectus	24.08	98.08 24.08	98.08	 KEEP: Assembly Cui 2013
SAMN02403067	CMCCK110001	Orientalis	1991	Yunnan, China	Rattus flavipectus	23.92	99.02 23.92	99.02	 KEEP: Assembly Cui 2013
SAMN02403068	CMCCN010025	Microtus	2000	Sichuan, China	Microtus fuscus	33.01	98.06 33.01	98.06	 KEEP: Assembly Cui 2013
SAMN02403069	D1964001	Antiqua	1964	Qinghai, China	Marmota himalayana	37.37	101.62 37.37	101.62	 KEEP: Assembly Cui 2013
SAMN02403070	D1964002	Antiqua	1964	Qinghai, China	Canis faliaris	37.37	101.62 37.37	101.62	 KEEP: Assembly Cui 2013
SAMN02403071	D1982001	Antiqua	1982	Gansu, China	Homo sapiens	38.86	99.57 38.86	99.57	 KEEP: Assembly Cui 2013
SAMN02403072	D1991004	Antiqua	1991	Qinghai, China	Marmota himalayana	35.03	101.5 35.03	101.5	 KEEP: Assembly Cui 2013
SAMN02403073	E1977001	Antiqua	1977	Yunnan, China	Ctenophthalmus quadratus	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403021	E1979001	Antiqua	1979	Yunnan, China	Eothenomys miletus	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403074	EV76	Orientalis	1922	Madagascar	Homo sapiens				 KEEP: Assembly Cui 2013
SAMN02403075	F1946001	Orientalis	1946	Fujian, China	Homo sapiens	26.58	118.75 26.58	118.75	 KEEP: Assembly Cui 2013
SAMN02403076	F1954001	Antiqua	1954	Yunnan, China	Rattus flavipectus	25.48	100.56 25.48	100.56	 KEEP: Assembly Cui 2013
SAMN02403077	F1984001	Orientalis	1984	Yunnan, China	Rattus flavipectus	24.69	97.93 24.69	97.93	 KEEP: Assembly Cui 2013
SAMN02403078	G1996006	Antiqua	1996	Tibet, China	Homo sapiens	27.98	91.91 27.98	91.91	 KEEP: Assembly Cui 2013
SAMN02403079	G1996010	Antiqua	1996	Tibet, China	Pseudois nayaur	28.46	92.42 28.46	92.42	 KEEP: Assembly Cui 2013
SAMN02403080	G8786	Microtus		Georgia	Microtus arvalis				 KEEP: Assembly Cui 2013
SAMN02403081	H1958004	Medievalis	1958	Jilin, China	Spermophilus dauricus	43.87	126.57 43.87	126.57	 KEEP: Assembly Cui 2013
SAMN02403082	H1959004	Antiqua	1959	Jilin, China	Rattus norvegicus	45.2	124.82 45.2	124.82	 KEEP: Assembly Cui 2013
SAMN02403083	I160001	Medievalis	1987	Xinjiang, China	Marmota himalayana	38.09	85.32 38.09	85.32	 KEEP: Assembly Cui 2013
SAMN02403084	I1969003	Medievalis	1969	Ningxia, China	Meriones unguiculatus	38.1	106.34 38.1	106.34	 KEEP: Assembly Cui 2013
SAMN02403085	I1970005	Medievalis	1970	Inner Mongolia, China	Meriones unguiculatus	39.12	107.97 39.12	107.97	 KEEP: Assembly Cui 2013
SAMN02403086	I1991001	Medievalis	1991	Inner Mongolia, China	Meriones unguiculatus	41.55	108.52 41.55	108.52	 KEEP: Assembly Cui 2013
SAMN02403087	I1994006	Medievalis	1994	Hebei, China	Citellophilus tesquorum sungaris	41.87	114.6 41.87	114.6	 KEEP: Assembly Cui 2013
SAMN02403088	I2001001	Medievalis	2001	Shaanxi, China	Meriones unguiculatus	37.6	107.59 37.6	107.59	 KEEP: Assembly Cui 2013
SAMN02403942	India195	Orientalis	>1898	India	Homo sapiens				 KEEP: Assembly Cui 2013
SAMN02403089	J1963002	Medievalis	1963	Gansu, China	Citellophilus tesquorum sungaris	35.72	105.08 35.72	105.08	 KEEP: Assembly Cui 2013
SAMN02403090	J1978002	Medievalis	1978	Ningxia, China	Spermophilus alaschanicus	36.56	105.64 36.56	105.64	 KEEP: Assembly Cui 2013
SAMN02403091	K1973002	Medievalis	1973	Xinjiang, China	Marmota himalayana	37.12	79.94 37.12	79.94	 KEEP: Assembly Cui 2013
SAMN02403092	K21985002	Antiqua	1985	Xinjiang, China	Marmota himalayana	39	88.1 39	88.1	 KEEP: Assembly Cui 2013
SAMN02403093	M0000002	Microtus	2001	Qinghai, China	Microtus fuscus	33.35	97.12 33.35	97.12	 KEEP: Assembly Cui 2013
SAMN02403094	MGJZ11	Antiqua	2000	Bayan-Olgii, Mongolia	Marmota sibirica	48.18	89.5 48.18	89.5	 KEEP: Assembly Cui 2013
SAMN02403095	MGJZ12	Antiqua	2002	Bayan-Olgii, Mongolia	Marmota sibirica	48.18	89.5 48.18	89.5	 KEEP: Assembly Cui 2013
SAMN02403096	MGJZ3	Antiqua	1980	Govi-Altai, Mongolia	Marmota sibirica	45.3	95.3 45.3	95.3	 KEEP: Assembly Cui 2013
SAMN02403097	MGJZ6	Antiqua	1997	Dornogovi, Mongolia	Meriones meridianus	43.7	110.28 43.7	110.28	 KEEP: Assembly Cui 2013
SAMN02403098	MGJZ7	Antiqua	1997	Dornogovi, Mongolia	Meriones meridianus	43.7	110.28 43.7	110.28	 KEEP: Assembly Cui 2013
SAMN02403099	MGJZ9	Antiqua	1998	Govi-Altai, Mongolia	Orip silantiwii	45.3	95.3 45.3	95.3	 KEEP: Assembly Cui 2013
SAMN02403944	Pestoides A	Microtus		USSR					 KEEP: Assembly Cui 2013
SAMN02403100	SHAN11	Medievalis	2006	Shaanxi, China	Nosopsyllu laeviceps kuzenkovi	37.6	107.59 37.6	107.59	 KEEP: Assembly Cui 2013
SAMN02403101	SHAN12	Medievalis	2006	Shaanxi, China	Meriones unguiculatus	37.6	107.59 37.6	107.59	 KEEP: Assembly Cui 2013
SAMN02403102	YN1065	Orientalis	1954	Yunnan, China	Stenischia humilis	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403103	YN1683	Orientalis	1977	Yunnan, China	Apodemus speciosus	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403104	YN2179	Orientalis	1995	Myanmar	Rattus flavipectus				 KEEP: Assembly Cui 2013
SAMN02403105	YN2551	Orientalis	2002	Yunnan, China	Rattus flavipectus	23.35	102.42 23.35	102.42	 KEEP: Assembly Cui 2013
SAMN02403106	YN2588	Orientalis	2000	Guangxi, China	Rattus flavipectus	24.8	105.34 24.8	105.34	 KEEP: Assembly Cui 2013
SAMN02403107	YN472	Orientalis	1957	Yunnan, China	Neopsyllini specialis	26.53	99.88 26.53	99.88	 KEEP: Assembly Cui 2013
SAMN02403108	YN663	Orientalis	1982	Yunnan, China	Xenopsylla cneopis roths	24.33	97.96 24.33	97.96	 KEEP: Assembly Cui 2013
SAMN02602970	91001	Microtus	1970	Inner Mongolia, China	Microtus brandti	44.03	114.97 44.03	114.97	 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02604042	Angola	Microtus	<1984	Angola					 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02598369	Antiqua	Antiqua	1965	Republic of the Congo	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02404401	B42003004	Antiqua	2003	Xinjiang, China	Marmota baibacina	44.95	81.08 44.95	81.08	 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02403940	CA88-4125	Orientalis	1988	California, USA	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02404399	F1991016	Orientalis	1991	Yunnan, China	Rattus flavipectus	23.15	99.24 23.15	99.24	 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02404398	IP275	Orientalis	1995	Ambalavao district, Madagascar	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02604093	KIM10+	Medievalis	1968	Kurdistan	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02404403	MG05-1020	Orientalis	2005	Madagascar	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02403941	Nepal516	Antiqua	1967	Nepal	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02598373	Pestoides F	Microtus	<1984	USSR					 KEEP: Assembly Morelli 2010 Cui 2013
SAMN02404404	UG05-0454	Antiqua	2004	Uganda	Homo sapiens				 KEEP: Assembly Morelli 2010 Cui 2013
SAMEA1705942	CO92	Orientalis	1992	Colorado, USA	Homo sapiens				REMOVE: Reference Genome
