BioSampleAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLon	BioSampleLon	BioSampleComment
SAMN02402993	2	Antiqua	2004	Qinghai, China	Homo sapiens	32.23	32.23 96.47	96.47	 KEEP: Assembly Cui 2013
SAMN02403006	5	Antiqua	2004	Qinghai, China	Homo sapiens	36.9	98.46 36.9	98.46	 KEEP: Assembly Cui 2013
SAMN02403009	7	Antiqua	2004	Qinghai, China	Homo sapiens	36.9	98.46 36.9	98.46	 KEEP: Assembly Cui 2013
SAMN02403015	9	Antiqua	2004	Qinghai, China	Homo sapiens	33.35	97.12 33.35	97.12	 KEEP: Assembly Cui 2013
SAMN02402991	12	Antiqua	2004	Qinghai, China	Homo sapiens	38.2	100.22 38.2	100.22	 KEEP: Assembly Cui 2013
SAMN02403016	91	Medievalis	1987	Xinjiang, China	Oropsylla silantiewi	38.09	85.32 38.09	85.32	 KEEP: Assembly Cui 2013
SAMN02402992	164	Antiqua	1985	Xinjiang, China	Oropsylla silantiewi	39	88.1 39	88.1	 KEEP: Assembly Cui 2013
SAMN02403013	735	Antiqua	1965	St. Petersberg, Russia	Rattus norvegicus				 KEEP: Assembly Cui 2013
SAMN02403017	945	Antiqua	1994	Xinjiang, China	Human flea	44.29	85.56 44.29	85.56	 KEEP: Assembly Cui 2013
SAMN02402994	2330	Antiqua	2003	Xinjiang, China	Marmota baibacina	44.95	81.08 44.95	81.08	 KEEP: Assembly Cui 2013
SAMN02402995	2504	Medievalis	2005	Xinjiang, China	Rhombomys opimus	44.02	88.11 44.02	88.11	 KEEP: Assembly Cui 2013
SAMN02402996	2506	Medievalis	2005	Xinjiang, China	Rhombomys opimus	44.02	88.11 44.02	88.11	 KEEP: Assembly Cui 2013
SAMN02402997	2654	Medievalis	2006	Xinjiang, China	Rhombomys opimus	44.02	88.11 44.02	88.11	 KEEP: Assembly Cui 2013
SAMN02403007	5761	Antiqua	1956	St. Petersberg, Russia	Rattus norvegicus				 KEEP: Assembly Cui 2013
SAMN02403012	7338	Medievalis	1973	Xinjiang, China	Marmota himalayana	37.12	79.94 37.12	79.94	 KEEP: Assembly Cui 2013
SAMN02402998	30017	Antiqua	1976	Tibet, China	Marmota himalayana	31.47	92.1 31.47	92.1	 KEEP: Assembly Cui 2013
SAMN02402999	34008	Antiqua	1968	Tibet, China	Marmota himalayana	29.66	84.15 29.66	84.15	 KEEP: Assembly Cui 2013
SAMN02403000	34202	Antiqua	1990	Tibet, China	Marmota himalayana	30.37	81.18 30.37	81.18	 KEEP: Assembly Cui 2013
SAMN02403002	42013	Antiqua	1971	Xinjiang, China	Citellus undulatus	44.45	84.62 44.45	84.62	 KEEP: Assembly Cui 2013
SAMN02403003	42082	Antiqua	1995	Xinjiang, China	Citellus undulatus	44.45	84.62 44.45	84.62	 KEEP: Assembly Cui 2013
SAMN02403004	42091	Antiqua	1999	Xinjiang, China	Citellus undulatus	44.45	84.62 44.45	84.62	 KEEP: Assembly Cui 2013
SAMN02403005	42095	Antiqua	2001	Xinjiang, China	Citellus undulatus	44.45	84.62 44.45	84.62	 KEEP: Assembly Cui 2013
SAMN02403010	71021	Antiqua	1989	Gansu, China	Oropsylla silantiewi	38.46	94.25 38.46	94.25	 KEEP: Assembly Cui 2013
SAMN02403001	351001	Antiqua	1996	Tibet, China	Marmota himalayana	29.39	90.7 29.39	90.7	 KEEP: Assembly Cui 2013
SAMN02403008	620024	Antiqua	1962	Qinghai, China	Homo sapiens	35.6	99.99 35.6	99.99	 KEEP: Assembly Cui 2013
SAMN02403011	710317	Antiqua	1971	Qinghai, China	Homo sapiens	36.72	101.28 36.72	101.28	 KEEP: Assembly Cui 2013
SAMN02403014	780441	Antiqua	1978	Qinghai, China	Marmota himalayana	34.92	98.26 34.92	98.26	 KEEP: Assembly Cui 2013
SAMN02403018	970754	Antiqua	1997	Qinghai, China	Ovis aries	32.23	96.47 32.23	96.47	 KEEP: Assembly Cui 2013
SAMN02403019	A1956001	Antiqua	1956	Xinjiang, China	Marmota caudata	39.7	75.18 39.7	75.18	 KEEP: Assembly Cui 2013
SAMN02403020	A1973001	Medievalis	1973	Xinjiang, China	Marmota caudata	39.7	75.18 39.7	75.18	 KEEP: Assembly Cui 2013
SAMN02403022	C1975003	Antiqua	1975	Qinghai, China	Ovis aries	33.03	96.97 33.03	96.97	 KEEP: Assembly Cui 2013
SAMN02403023	C1976001	Antiqua	1976	Gansu, China	Marmota himalayana	38.46	94.25 38.46	94.25	 KEEP: Assembly Cui 2013
SAMN02403024	C1989001	Antiqua	1989	Qinghai, China	Homo sapiens	32.92	95.3 32.92	95.3	 KEEP: Assembly Cui 2013
SAMN02403025	CMCC02041	Antiqua	1965	Qinghai, China	Mustela eversmanni	38.2	100.22 38.2	100.22	 KEEP: Assembly Cui 2013
SAMN02403026	CMCC03001	Antiqua	1954	Qinghai, China	Ochotona daurica	34.75	101.62 34.75	101.62	 KEEP: Assembly Cui 2013
SAMN02403027	CMCC05009	Antiqua	1961	Qinghai, China	Allactaga sibirica	35.6	99.99 35.6	99.99	 KEEP: Assembly Cui 2013
SAMN02403028	CMCC05013	Antiqua	1988	Qinghai, China	Linognathoides palaearctus	35.6	99.99 35.6	99.99	 KEEP: Assembly Cui 2013
SAMN02403029	CMCC10012	Antiqua	1964	Qinghai, China	Ixodex crenulatus	36.89	100.99 36.89	100.99	 KEEP: Assembly Cui 2013
SAMN02403030	CMCC104003	Antiqua	1989	Inner Mongolia, China	Spermophilus dauricus	43.97	120.05 43.97	120.05	 KEEP: Assembly Cui 2013
SAMN02403031	CMCC106002	Antiqua	1996	Inner Mongolia, China	Citellophilus tesquorum	44.55	120.87 44.55	120.87	 KEEP: Assembly Cui 2013
SAMN02403032	CMCC107004	Medievalis	2003	Inner Mongolia, China	Citellophilus tesquorum mongolicus	41.9	114 41.9	114	 KEEP: Assembly Cui 2013
SAMN02403033	CMCC11001	Antiqua	1954	Qinghai, China	Marmota himalayana	35.57	100.75 35.57	100.75	 KEEP: Assembly Cui 2013
SAMN02403034	CMCC114001	Orientalis	1952	Fujian, China	Mus musculus	25.44	119 25.44	119	 KEEP: Assembly Cui 2013
SAMN02403035	CMCC12003	Medievalis	1961	Qinghai, China	Marmota himalayana	37.37	101.62 37.37	101.62	 KEEP: Assembly Cui 2013
SAMN02403036	CMCC125002	Medievalis	1964	Ningxia, China	Spermophilus alaschanicus	35.97	105.7 35.97	105.7	 KEEP: Assembly Cui 2013
SAMN02403037	CMCC18019	Microtus	2001	Qinghai, China	Microtus fuscus	33.35	97.12 33.35	97.12	 KEEP: Assembly Cui 2013
SAMN02403038	CMCC21106	Antiqua	2001	Xinjiang, China	Marmota baibacina	39.7	75.18 39.7	75.18	 KEEP: Assembly Cui 2013
SAMN02403039	CMCC27002	Antiqua	1991	Qinghai, China	Marmota himalayana	35.24	100.63 35.24	100.63	 KEEP: Assembly Cui 2013
SAMN02403040	CMCC31004	Antiqua	1990	Tibet, China	Marmota himalayana	32.29	91.68 32.29	91.68	 KEEP: Assembly Cui 2013
SAMN02403041	CMCC347001	Antiqua	1996	Tibet, China	Marmota himalayana	30.2	91.24 30.2	91.24	 KEEP: Assembly Cui 2013
SAMN02403042	CMCC348002	Antiqua	1998	Tibet, China	Marmota himalayana	29.71	89.02 29.71	89.02	 KEEP: Assembly Cui 2013
