#Coverage	Number of genomic locations
0.0	1730782.0
1.0	1403975.0
2.0	876152.0
3.0	442804.0
4.0	198987.0
5.0	83351.0
6.0	36016.0
7.0	17188.0
8.0	9232.0
9.0	5958.0
10.0	3981.0
11.0	2969.0
12.0	2307.0
13.0	1928.0
14.0	1836.0
15.0	1661.0
16.0	1340.0
17.0	1215.0
18.0	998.0
19.0	735.0
20.0	681.0
21.0	630.0
22.0	555.0
23.0	513.0
24.0	383.0
25.0	302.0
26.0	306.0
27.0	264.0
28.0	205.0
29.0	149.0
30.0	143.0
31.0	119.0
32.0	101.0
33.0	89.0
34.0	101.0
35.0	157.0
36.0	88.0
37.0	103.0
38.0	89.0
39.0	66.0
40.0	114.0
41.0	51.0
42.0	54.0
43.0	87.0
44.0	43.0
45.0	58.0
46.0	43.0
47.0	65.0
48.0	43.0
49.0	53.0
50.0	44.0
51.0	53.0
52.0	47.0
53.0	44.0
54.0	51.0
55.0	57.0
56.0	43.0
57.0	25.0
58.0	27.0
59.0	30.0
60.0	31.0
61.0	38.0
62.0	28.0
63.0	27.0
64.0	20.0
65.0	21.0
66.0	10.0
67.0	12.0
68.0	14.0
69.0	11.0
70.0	13.0
71.0	14.0
72.0	11.0
73.0	5.0
74.0	15.0
75.0	19.0
76.0	5.0
77.0	3.0
78.0	4.0
79.0	3.0
80.0	4.0
81.0	11.0
82.0	7.0
83.0	3.0
84.0	8.0
85.0	3.0
86.0	3.0
87.0	2.0
88.0	2.0
89.0	2.0
90.0	2.0
91.0	6.0
92.0	4.0
93.0	1.0
94.0	2.0
